	ENST_Nested	ENST_Host	geneChr_Nested	geneStart_Nested	geneEnd_Nested	SYMBOL_Nested	Strand_Nested	biotype_Nested	geneChr_Host	geneStart_Host	geneEnd_Host	SYMBOL_Host	Strand_Host	biotype_Host	Overlap_size	Strandness	pairid	seqnames	start	end	width	strand	V5	annotation	genic	Intergenic	Promoter	fiveUTR	threeUTR	Exon	Intron	downstream	distal_intergenic	exon_intron_number	exon_intron_total_number
2299	ENST00000390201.1	ENST00000328333.12_3	chr3	48616334	48616410	MIR711	-	miRNA	chr3	48601505	48632700	COL7A1	-	protein_coding	76	same	9076_ID	chr3	48616335	48616410	76	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	62	118
10499	ENST00000602778.2_4	ENST00000570156.7_5	chr1	228483249	228490703	AL353593.2	-	lncRNA	chr1	228395744	228566577	OBSCN	+	protein_coding	7454	opposite	5240_ID	chr1	228483250	228490703	7454	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	49	116
12316	ENST00000653257.1_3	ENST00000570156.7_5	chr1	228544712	228556255	AL670729.3	-	lncRNA	chr1	228395744	228566577	OBSCN	+	protein_coding	11543	opposite	5880_ID	chr1	228544713	228556255	11543	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	91	116
12840	ENST00000664490.1_3	ENST00000570156.7_5	chr1	228425941	228463746	AL353593.1	-	lncRNA	chr1	228395744	228566577	OBSCN	+	protein_coding	37826	opposite	5239_ID	chr1	228425942	228463746	37805	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	11	116
12685	ENST00000661074.1_1	ENST00000570156.7_5	chr1	228517167	228518892	AL353593.3	+	lncRNA	chr1	228395744	228566577	OBSCN	+	protein_coding	1725	same	5241_ID	chr1	228517168	228518892	1725	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	67	115
2855	ENST00000408610.1	ENST00000344113.8_2	chr14	64561741	64561843	MIR548H1	-	miRNA	chr14	64319700	64693151	SYNE2	+	protein_coding	102	opposite	8899_ID	chr14	64561742	64561843	102	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	61	114
3898	ENST00000428391.1_3	ENST00000271588.9_2	chr1	186145945	186146434	AL133553.1	-	lncRNA	chr1	185703522	186160081	HMCN1	+	protein_coding	489	opposite	4869_ID	chr1	186145946	186146434	489	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	103	106
10209	ENST00000595853.1_3	ENST00000359596.8_3	chr19	39026156	39027768	AC067969.1	-	lncRNA	chr19	38924330	39078204	RYR1	+	protein_coding	1612	opposite	2383_ID	chr19	39026157	39027768	1612	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	82	106
10258	ENST00000597015.1_3	ENST00000359596.8_3	chr19	39017593	39019195	AC067969.2	-	lncRNA	chr19	38924330	39078204	RYR1	+	protein_coding	1602	opposite	2384_ID	chr19	39017594	39019195	1602	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	72	106
6438	ENST00000516587.1	ENST00000366574.7_3	chr1	237284106	237284409	RN7SKP195	+	misc_RNA	chr1	237205483	237997288	RYR2	+	protein_coding	303	same	9814_ID	chr1	237284107	237284409	303	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	104
9807	ENST00000584884.1	ENST00000366574.7_3	chr1	237634418	237634491	MIR4428	+	miRNA	chr1	237205483	237997288	RYR2	+	protein_coding	73	same	8530_ID	chr1	237634419	237634491	73	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	17	104
7831	ENST00000560268.2_3	ENST00000415757.7_1	chr15	34150802	34157026	AC010809.1	-	lncRNA	chr15	33603162	34158302	RYR3	+	protein_coding	6224	opposite	1148_ID	chr15	34150803	34157026	6224	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	99	103
7837	ENST00000560404.2_3	ENST00000415757.7_1	chr15	34143985	34149010	AC010809.2	-	lncRNA	chr15	33603162	34158302	RYR3	+	protein_coding	5025	opposite	1149_ID	chr15	34143986	34149010	5025	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	94	103
4274	ENST00000438877.1_1	ENST00000369393.8_4	chr6	90383187	90385502	AL096678.1	+	lncRNA	chr6	90352216	90529513	MDN1	-	protein_coding	2315	opposite	4682_ID	chr6	90383188	90385502	2315	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	78	102
11554	ENST00000621310.1_1	ENST00000415757.7_1	chr15	34142738	34143379	AC010809.3	-	lncRNA	chr15	33603162	34158302	RYR3	+	protein_coding	641	opposite	1150_ID	chr15	34142739	34143379	641	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	93	102
256	ENST00000289890.7_3	ENST00000361689.7_2	chr1	39715509	39723321	AL442071.1	-	lncRNA	chr1	39547088	39952659	MACF1	+	protein_coding	7812	opposite	5608_ID	chr1	39715510	39723321	7812	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	4	94
13082	ENST00000669616.1_4	ENST00000361689.7_2	chr1	39692341	39704292	AL442071.2	-	lncRNA	chr1	39547088	39952659	MACF1	+	protein_coding	11951	opposite	5609_ID	chr1	39692342	39704292	11951	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	3	94
1676	ENST00000383927.1	ENST00000361689.7_2	chr1	39586611	39586715	RNU6-608P	-	snRNA	chr1	39547088	39952659	MACF1	+	protein_coding	104	opposite	11377_ID	chr1	39586612	39586715	104	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	2	93
3497	ENST00000416948.1_3	ENST00000327475.11_3	chr6	38890804	38920875	DNAH8-AS1	-	lncRNA	chr6	38683086	38998568	DNAH8	+	protein_coding	30071	opposite	6825_ID	chr6	38890805	38920875	30071	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	72	93
5268	ENST00000468411.2	ENST00000327475.11_3	chr6	38711861	38712159	RN7SL465P	+	misc_RNA	chr6	38683086	38998568	DNAH8	+	protein_coding	298	same	10206_ID	chr6	38711862	38712159	298	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	8	92
6305	ENST00000516206.1	ENST00000389484.8_3	chr2	141924825	141924926	RNU6-904P	-	snRNA	chr2	140988991	142888585	LRP1B	-	protein_coding	101	same	11600_ID	chr2	141924826	141924926	101	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	7	90
8610	ENST00000578083.1	ENST00000389484.8_3	chr2	142754945	142755056	AC012003.1	+	miRNA	chr2	140988991	142888585	LRP1B	-	protein_coding	111	opposite	1319_ID	chr2	142754946	142755056	111	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	90
9403	ENST00000582639.1	ENST00000389484.8_3	chr2	142396412	142396532	AC012353.1	+	miRNA	chr2	140988991	142888585	LRP1B	-	protein_coding	120	opposite	1365_ID	chr2	142396413	142396532	120	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	2	90
7642	ENST00000555461.1_3	ENST00000243077.8_2	chr12	57538402	57541402	LRP1-AS	-	lncRNA	chr12	57522265	57607144	LRP1	+	protein_coding	3000	opposite	7853_ID	chr12	57538403	57541402	3000	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	5	89
12074	ENST00000648543.1_3	ENST00000405460.9_4	chr5	90428119	90438287	AC074132.1	-	lncRNA	chr5	89854613	90460254	ADGRV1	+	protein_coding	10168	opposite	2573_ID	chr5	90428120	90438287	10168	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	87	89
12116	ENST00000649070.1_3	ENST00000375735.7_4	chr11	103122945	103164434	AP002961.1	-	lncRNA	chr11	102980154	103350591	DYNC2H1	+	protein_coding	41489	opposite	6222_ID	chr11	103122946	103164434	41489	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	66	89
2778	ENST00000408438.1	ENST00000243077.8_2	chr12	57588286	57588359	MIR1228	+	miRNA	chr12	57522265	57607144	LRP1	+	protein_coding	73	same	7987_ID	chr12	57588287	57588359	73	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	49	88
12536	ENST00000658178.1_1	ENST00000314191.7_5	chr8	48853985	48856230	AC021236.1	+	lncRNA	chr8	48685671	48872696	PRKDC	-	protein_coding	2245	opposite	1784_ID	chr8	48853986	48856230	2245	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	10	87
8013	ENST00000563968.5_1	ENST00000393567.7_7	chr16	71114768	71127570	AC138625.2	+	lncRNA	chr16	70835986	71264625	HYDIN	-	protein_coding	12802	opposite	4189_ID	chr16	71114769	71127570	12802	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	12	86
2284	ENST00000390136.2	ENST00000314191.7_5	chr8	48802618	48802691	AC103686.1	+	miRNA	chr8	48685671	48872696	PRKDC	-	protein_coding	73	opposite	3454_ID	chr8	48802619	48802691	73	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	32	85
2937	ENST00000408798.1	ENST00000393567.7_7	chr16	70886600	70886717	RNU6ATAC25P	+	snRNA	chr16	70835986	71264625	HYDIN	-	protein_coding	117	opposite	11671_ID	chr16	70886601	70886717	117	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	73	85
3262	ENST00000411384.1	ENST00000393567.7_7	chr16	70907086	70907216	AC027281.1	-	miRNA	chr16	70835986	71264625	HYDIN	-	protein_coding	130	same	2205_ID	chr16	70907087	70907216	130	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	64	85
8191	ENST00000567556.1_1	ENST00000393567.7_7	chr16	71147254	71147903	AC138625.1	+	lncRNA	chr16	70835986	71264625	HYDIN	-	protein_coding	649	opposite	4188_ID	chr16	71147255	71147903	649	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	10	85
2244	ENST00000385277.1	ENST00000262854.11_7	chrX	53584152	53584235	MIRLET7F2	-	miRNA	chrX	53559056	53713664	HUWE1	-	protein_coding	83	same	9137_ID	chrX	53584153	53584235	83	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	61	84
10737	ENST00000606724.1	ENST00000262854.11_7	chrX	53583183	53583302	MIR98	-	miRNA	chrX	53559056	53713664	HUWE1	-	protein_coding	119	same	9123_ID	chrX	53583184	53583302	119	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	61	84
121721	ENST00000650148.1_1	ENST00000249837.7_4	chr15	62153307	62186363	AC009554.2	+	lncRNA	chr15	62144587	62352672	VPS13C	-	protein_coding	33056	opposite	972_ID	chr15	62153308	62186363	33056	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	65	83
39141	ENST00000428716.2_3	ENST00000544440.7_6	chr13	77654645	77655325	MYCBP2-AS2	-	lncRNA	chr13	77618791	77901229	MYCBP2	-	protein_coding	680	same	9193_ID	chr13	77654646	77655325	680	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	65	82
97361	ENST00000584412.1	ENST00000249837.7_4	chr15	62206623	62206875	RN7SL613P	+	misc_RNA	chr15	62144587	62352672	VPS13C	-	protein_coding	252	opposite	10305_ID	chr15	62206624	62206875	252	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	59	82
10086	ENST00000591373.2_1	ENST00000389840.7_5	chr17	76480991	76495428	DNAH17-AS1	+	lncRNA	chr17	76419777	76573478	DNAH17	-	protein_coding	18175	opposite	6824_ID	chr17	76480992	76495428	14437	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	37	81
4912	ENST00000456721.2_2	ENST00000252999.7_3	chr20	60928050	60931525	LAMA5-AS1	+	lncRNA	chr20	60884120	60942368	LAMA5	-	protein_coding	3486	opposite	7504_ID	chr20	60928051	60931525	3475	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	3	80
5629	ENST00000492744.2	ENST00000389840.7_5	chr17	76528874	76529137	RN7SL454P	-	misc_RNA	chr17	76419777	76573478	DNAH17	-	protein_coding	263	same	10194_ID	chr17	76528875	76529137	263	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	19	80
8536	ENST00000577688.1	ENST00000252999.7_3	chr20	60907542	60907613	MIR4758	-	miRNA	chr20	60884120	60942368	LAMA5	-	protein_coding	71	same	8745_ID	chr20	60907543	60907613	71	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	27	80
1780	ENST00000384210.1	ENST00000398571.7_5	chr2	61644378	61644513	SNORA70B	-	snoRNA	chr2	61414597	61698222	USP34	-	protein_coding	135	same	12196_ID	chr2	61644379	61644513	135	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	2	79
5782	ENST00000503244.2_3	ENST00000265104.4_3	chr5	13860411	13901145	AC016576.1	+	lncRNA	chr5	13690439	13944652	DNAH5	-	protein_coding	40734	opposite	1537_ID	chr5	13860412	13901145	40734	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	15	79
10996	ENST00000609422.1_1	ENST00000398571.7_5	chr2	61427113	61427904	AC016747.3	+	lncRNA	chr2	61414597	61698222	USP34	-	protein_coding	791	opposite	1563_ID	chr2	61427114	61427904	791	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	75	79
2774	ENST00000408421.1	ENST00000357033.9_4	chrX	32659590	32659676	MIR548F5	-	miRNA	chrX	31137338	33229666	DMD	-	protein_coding	86	same	8898_ID	chrX	32659591	32659676	86	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	11	78
4308	ENST00000439592.1_1	ENST00000357033.9_4	chrX	32773056	32774517	DMD-AS3	+	lncRNA	chrX	31137338	33229666	DMD	-	protein_coding	1461	opposite	6820_ID	chrX	32773057	32774517	1461	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	7	78
6140	ENST00000514254.3_4	ENST00000409039.8_5	chr12	124410007	124419531	DNAH10OS	-	lncRNA	chr12	124246734	124420267	DNAH10	+	protein_coding	9524	opposite	6823_ID	chr12	124410008	124419531	9524	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	68	78
6619	ENST00000517094.1	ENST00000357033.9_4	chrX	31366308	31366414	RNU6-894P	+	snRNA	chrX	31137338	33229666	DMD	-	protein_coding	106	opposite	11589_ID	chrX	31366309	31366414	106	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	61	78
7788	ENST00000559303.2_1	ENST00000443617.7_4	chr15	63967344	64005957	AC073167.1	+	lncRNA	chr15	63900816	64126147	HERC1	-	protein_coding	38613	opposite	2508_ID	chr15	63967345	64005957	38613	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	23	78
8678	ENST00000578518.1	ENST00000357033.9_4	chrX	32601772	32601869	MIR3915	-	miRNA	chrX	31137338	33229666	DMD	-	protein_coding	97	same	8420_ID	chrX	32601773	32601869	97	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	13	78
12086	ENST00000648644.1_1	ENST00000357033.9_4	chrX	31429149	31431818	AC079177.1	+	lncRNA	chrX	31137338	33229666	DMD	-	protein_coding	2669	opposite	2626_ID	chrX	31429150	31431818	2669	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	60	78
10527	ENST00000602952.1	ENST00000409039.8_5	chr12	124410007	124410630	RP11-380L11.4	-	antisense	chr12	124246734	124420267	DNAH10	+	protein_coding	623	opposite	11895_ID	chr12	124410008	124410630	623	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	67	77
7440	ENST00000547401.1_1	ENST00000377560.9_4	chr12	112694603	112696895	AC004217.1	+	lncRNA	chr12	112597993	112820243	HECTD4	-	protein_coding	2292	opposite	110_ID	chr12	112694604	112696895	2292	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	20	76
1206	ENST00000364558.1	ENST00000377560.9_4	chr12	112704880	112705198	RN7SKP71	+	misc_RNA	chr12	112597993	112820243	HECTD4	-	protein_coding	318	opposite	9915_ID	chr12	112704881	112705198	318	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	13	75
4868	ENST00000455572.1_3	ENST00000421745.6_1	chr2	32602698	32604667	BIRC6-AS1	-	lncRNA	chr2	32582095	32843966	BIRC6	+	protein_coding	1969	opposite	6418_ID	chr2	32602699	32604667	1969	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	2	74
2073	ENST00000384920.1	ENST00000421745.6_1	chr2	32757219	32757313	MIR558	+	miRNA	chr2	32582095	32843966	BIRC6	+	protein_coding	94	same	8933_ID	chr2	32757220	32757313	94	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	61	73
2705	ENST00000408256.1	ENST00000512123.4_2	chr4	79109489	79109577	AC093897.1	+	miRNA	chr4	78978476	79465423	FRAS1	+	protein_coding	88	same	3260_ID	chr4	79109490	79109577	88	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	2	73
4008	ENST00000431309.1_3	ENST00000367545.7_1	chr6	144632834	144654437	AL024474.2	-	lncRNA	chr6	144612964	145174170	UTRN	+	protein_coding	21603	opposite	4499_ID	chr6	144632835	144654437	21603	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	73
11093	ENST00000610331.1_1	ENST00000421745.6_1	chr2	32746993	32748614	AL133243.2	+	lncRNA	chr2	32582095	32843966	BIRC6	+	protein_coding	1621	same	4827_ID	chr2	32746994	32748614	1621	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	57	73
11263	ENST00000614487.1_1	ENST00000421745.6_1	chr2	32773741	32774107	AL133243.1	+	lncRNA	chr2	32582095	32843966	BIRC6	+	protein_coding	366	same	4826_ID	chr2	32773742	32774107	366	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	64	73
11386	ENST00000617415.1_1	ENST00000421745.6_1	chr2	32751570	32754574	AL133243.3	+	lncRNA	chr2	32582095	32843966	BIRC6	+	protein_coding	3004	same	4828_ID	chr2	32751571	32754574	3004	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	59	73
3425	ENST00000414995.1_1	ENST00000307340.8_5	chr1	216059923	216074806	AL358452.1	+	lncRNA	chr1	215796232	216596790	USH2A	-	protein_coding	14883	opposite	5455_ID	chr1	216059924	216074806	14883	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	39	72
3642	ENST00000420867.1_1	ENST00000307340.8_5	chr1	216367392	216377708	USH2A-AS1	+	lncRNA	chr1	215796232	216596790	USH2A	-	protein_coding	10316	opposite	12853_ID	chr1	216367393	216377708	10316	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	17	72
4537	ENST00000446411.5_1	ENST00000307340.8_5	chr1	216245806	216260259	USH2A-AS2	+	lncRNA	chr1	215796232	216596790	USH2A	-	protein_coding	14453	opposite	12854_ID	chr1	216245807	216260259	14453	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	24	72
2511	ENST00000396885.2_3	ENST00000562955.2_3	chr1	43913446	43914315	SZT2-AS1	-	lncRNA	chr1	43855566	43919918	SZT2	+	protein_coding	869	opposite	12591_ID	chr1	43913447	43914315	869	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	67	71
9482	ENST00000583037.5_3	ENST00000562955.2_3	chr1	43916673	43919660	HYI	-	protein_coding	chr1	43855566	43919918	SZT2	+	protein_coding	2987	opposite	7319_ID	chr1	43916674	43919660	2987	*	-	Exon	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	71	71
12781	ENST00000663185.1_3	ENST00000355540.7_2	chr7	98587489	98591401	AC004893.2	-	lncRNA	chr7	98476112	98610866	TRRAP	+	protein_coding	3912	opposite	192_ID	chr7	98587490	98591401	3912	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	62	71
2532	ENST00000398786.2_3	ENST00000224721.12_5	chr10	73471466	73497581	C10orf105	-	protein_coding	chr10	73156676	73575704	CDH23	+	protein_coding	26124	opposite	6464_ID	chr10	73471467	73497581	26115	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	28	70
2891	ENST00000408683.1	ENST00000297405.10_5	chr8	114419755	114419823	AC107890.1	-	miRNA	chr8	113235156	114449168	CSMD3	-	protein_coding	68	same	3700_ID	chr8	114419756	114419823	68	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	70
3919	ENST00000428918.1_3	ENST00000224721.12_5	chr10	73267909	73271630	CDH23-AS1	-	lncRNA	chr10	73156676	73575704	CDH23	+	protein_coding	3721	opposite	6601_ID	chr10	73267910	73271630	3721	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	4	70
5083	ENST00000459295.1	ENST00000297405.10_5	chr8	113655721	113655812	MIR2053	+	miRNA	chr8	113235156	114449168	CSMD3	-	protein_coding	91	opposite	8168_ID	chr8	113655722	113655812	91	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	20	70
9409	ENST00000582661.1	ENST00000355540.7_2	chr7	98479272	98479352	MIR3609	+	miRNA	chr7	98476112	98610866	TRRAP	+	protein_coding	80	same	8341_ID	chr7	98479273	98479352	80	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	2	70
