	ENST_Nested	ENST_Host	geneChr_Nested	geneStart_Nested	geneEnd_Nested	SYMBOL_Nested	Strand_Nested	biotype_Nested	geneChr_Host	geneStart_Host	geneEnd_Host	SYMBOL_Host	Strand_Host	biotype_Host	Overlap_size	Strandness	pairid	seqnames	start	end	width	strand	V5	annotation	genic	Intergenic	Promoter	fiveUTR	threeUTR	Exon	Intron	downstream	distal_intergenic	exon_intron_number	exon_intron_total_number
6518	ENSMUST00000200205.1	ENSMUST00000032813.9	chr7	29045627	29045693	Gm44408	+	miRNA	chr7	29003343	29125151	Ryr1	-	protein_coding	66	opposite	4865_ID	chr7	29045628	29045693	66	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	82	106
3604	ENSMUST00000158594.1	ENSMUST00000032813.9	chr7	29083635	29083694	Mir1963	-	miRNA	chr7	29003343	29125151	Ryr1	-	protein_coding	59	same	5909_ID	chr7	29083636	29083694	59	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	34	105
6713	ENSMUST00000207099.1	ENSMUST00000032813.9	chr7	29029022	29030250	Gm38979	+	antisense	chr7	29003343	29125151	Ryr1	-	protein_coding	1228	opposite	4551_ID	chr7	29029023	29030250	1228	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	89	105
1314	ENSMUST00000101162.3	ENSMUST00000047441.13	chr11	59002909	59007293	Gm10435	+	antisense	chr11	58994255	59136375	Obscn	-	protein_coding	4384	opposite	878_ID	chr11	59002910	59007293	4384	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	86	104
4981	ENSMUST00000181692.2	ENSMUST00000183034.4	chr1	34165855	34178271	Gm26788	-	processed_transcript	chr1	33908224	34307592	Dst	+	protein_coding	12591	opposite	3788_ID	chr1	34165856	34178271	12416	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	23	103
2052	ENSMUST00000122557.1	ENSMUST00000183034.4	chr1	33981409	33981502	Gm23792	-	snRNA	chr1	33908224	34307592	Dst	+	protein_coding	93	opposite	2585_ID	chr1	33981410	33981502	93	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	3	102
6286	ENSMUST00000198033.1	ENSMUST00000183034.4	chr1	34117358	34117431	Mir6896	+	miRNA	chr1	33908224	34307592	Dst	+	protein_coding	73	same	6410_ID	chr1	34117359	34117431	73	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	7	102
2357	ENSMUST00000130791.1	ENSMUST00000097897.10	chr4	123667453	123671210	Gm12925	+	antisense	chr4	123349632	123684360	Macf1	-	protein_coding	5337	opposite	1084_ID	chr4	123667454	123671210	3757	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	97
3747	ENSMUST00000158963.1	ENSMUST00000097897.10	chr4	123490230	123490336	Gm23548	+	misc_RNA	chr4	123349632	123684360	Macf1	-	protein_coding	106	opposite	2473_ID	chr4	123490231	123490336	106	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	28	97
5494	ENSMUST00000184541.1	ENSMUST00000097897.10	chr4	123616419	123616521	Mir6398	+	miRNA	chr4	123349632	123684360	Macf1	-	protein_coding	102	opposite	6336_ID	chr4	123616420	123616521	102	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	97
5405	ENSMUST00000184284.1	ENSMUST00000030547.14	chr4	137538285	137538370	Mir7018	+	miRNA	chr4	137468768	137570630	Hspg2	+	protein_coding	85	same	6556_ID	chr4	137538286	137538370	85	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	43	96
7521	ENSMUST00000237260.1	ENSMUST00000170651.1	chr17	30848435	30857436	Gm41561	-	antisense	chr17	30624353	30875264	Dnah8	+	protein_coding	9001	opposite	4582_ID	chr17	30848436	30857436	9001	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	89	93
74811	ENSMUST00000235890.1	ENSMUST00000236140.1	chr17	30873991	30875284	Gm9937	-	antisense	chr17	30626934	30877365	Dnah8	+	protein_coding	1293	opposite	5530_ID	chr17	30873992	30875284	1293	*	-	Exon	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	93	93
768	ENSMUST00000083205.2	ENSMUST00000170651.1	chr17	30782025	30782129	Gm24661	-	snRNA	chr17	30624353	30875264	Dnah8	+	protein_coding	104	opposite	2960_ID	chr17	30782026	30782129	104	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	70	92
5481	ENSMUST00000184511.1	ENSMUST00000052550.12	chr2	40598373	40598543	Gm27348	-	misc_RNA	chr2	40595247	42653624	Lrp1b	-	protein_coding	170	same	3887_ID	chr2	40598374	40598543	170	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	90	91
5137	ENSMUST00000183581.1	ENSMUST00000052550.12	chr2	42447438	42447568	Mir6336	-	miRNA	chr2	40595247	42653624	Lrp1b	-	protein_coding	130	same	6298_ID	chr2	42447439	42447568	130	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	90
2202	ENSMUST00000124182.1	ENSMUST00000049149.14	chr10	127596547	127597870	Gm16217	+	antisense	chr10	127538160	127621148	Lrp1	-	protein_coding	1323	opposite	1537_ID	chr10	127596548	127597870	1323	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	6	88
519	ENSMUST00000082459.1	ENSMUST00000043141.6	chr8	110421360	110421467	Gm23627	-	snRNA	chr8	110266976	110610253	Hydin	+	protein_coding	107	opposite	2511_ID	chr8	110421361	110421467	107	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	19	86
1727	ENSMUST00000104619.3	ENSMUST00000043141.6	chr8	110556765	110556862	Gm44489	-	miRNA	chr8	110266976	110610253	Hydin	+	protein_coding	97	opposite	4887_ID	chr8	110556766	110556862	97	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	56	86
2200	ENSMUST00000124108.1	ENSMUST00000108659.1	chr11	69448547	69453676	Dnah2os	+	antisense	chr11	69420808	69549108	Dnah2	-	protein_coding	5129	opposite	708_ID	chr11	69448548	69453676	5129	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	54	86
4344	ENSMUST00000175371.2	ENSMUST00000043141.6	chr8	110498851	110499142	Gm22701	+	misc_RNA	chr8	110266976	110610253	Hydin	+	protein_coding	291	same	2116_ID	chr8	110498852	110499142	291	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	29	86
6209	ENSMUST00000197243.1	ENSMUST00000043141.6	chr8	110498984	110499044	Gm47306	+	miRNA	chr8	110266976	110610253	Hydin	+	protein_coding	60	same	5101_ID	chr8	110498985	110499044	60	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	29	86
5351	ENSMUST00000184128.1	ENSMUST00000108659.1	chr11	69505357	69505435	Gm27493	-	miRNA	chr11	69420808	69549108	Dnah2	-	protein_coding	78	same	3943_ID	chr11	69505358	69505435	78	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	12	85
723	ENSMUST00000083036.1	ENSMUST00000208001.1	chr1	181813606	181813700	Gm23690	-	snRNA	chr1	181576558	181814741	Dnah14	+	protein_coding	94	opposite	2540_ID	chr1	181813607	181813700	94	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	82	83
971	ENSMUST00000083602.2	ENSMUST00000026292.14	chrX	151913213	151913321	Mir98	+	miRNA	chrX	151803326	151935417	Huwe1	+	protein_coding	108	same	6795_ID	chrX	151913214	151913321	108	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	59	82
1026	ENSMUST00000083668.1	ENSMUST00000026292.14	chrX	151912345	151912428	Mirlet7f-2	+	miRNA	chrX	151803326	151935417	Huwe1	+	protein_coding	83	same	6811_ID	chrX	151912346	151912428	83	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	59	82
4395	ENSMUST00000175478.1	ENSMUST00000026292.14	chrX	151859561	151859637	Mir3113	+	miRNA	chrX	151803326	151935417	Huwe1	+	protein_coding	76	same	6077_ID	chrX	151859562	151859637	76	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	16	82
2447	ENSMUST00000134069.1	ENSMUST00000132685.8	chr11	118114854	118118279	Gm11738	+	antisense	chr11	118023075	118130634	Dnah17	-	protein_coding	3425	opposite	992_ID	chr11	118114855	118118279	3425	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	14	81
1019	ENSMUST00000083657.1	ENSMUST00000180046.7	chr11	23479560	23479667	Gm22753	-	snRNA	chr11	23306894	23490560	Usp34	+	protein_coding	107	opposite	2148_ID	chr11	23479561	23479667	107	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	75	79
6212	ENSMUST00000197269.1	ENSMUST00000058440.11	chr5	124817800	124818312	Gm43777	-	antisense	chr5	124725084	124834308	Dnah10	+	protein_coding	512	opposite	4767_ID	chr5	124817801	124818312	512	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	62	79
265	ENSMUST00000049420.3	ENSMUST00000114000.7	chrX	83486677	83487924	Tsga8	-	protein_coding	chrX	82948902	85206141	Dmd	+	protein_coding	1247	opposite	7478_ID	chrX	83486678	83487924	1247	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	6	78
1050	ENSMUST00000083727.1	ENSMUST00000114000.7	chrX	83536030	83536137	Gm22580	+	snRNA	chrX	82948902	85206141	Dmd	+	protein_coding	107	same	2063_ID	chrX	83536031	83536137	107	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	7	78
1674	ENSMUST00000104432.1	ENSMUST00000114000.7	chrX	83345742	83345859	n-R5s9	+	rRNA	chrX	82948902	85206141	Dmd	+	protein_coding	117	same	6951_ID	chrX	83345743	83345859	117	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	2	78
5690	ENSMUST00000185089.1	ENSMUST00000015791.5	chr2	180179754	180179823	Mir7005	-	miRNA	chr2	180176372	180225859	Lama5	-	protein_coding	69	same	6541_ID	chr2	180179755	180179823	69	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	66	78
5760	ENSMUST00000186450.1	ENSMUST00000042824.12	chr9	66418302	66448496	Gm28379	-	antisense	chr9	66350525	66508775	Herc1	+	protein_coding	30751	opposite	4161_ID	chr9	66418303	66448496	30194	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	23	78
7319	ENSMUST00000228755.1	ENSMUST00000048603.7	chr14	31268756	31320941	Gm35823	+	antisense	chr14	31260374	31323896	Dnah1	-	protein_coding	52185	opposite	4416_ID	chr14	31268757	31320941	52185	*	+	Exon	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	2	78
2020	ENSMUST00000122488.1	ENSMUST00000042824.12	chr9	66360640	66360742	Gm23428	-	snRNA	chr9	66350525	66508775	Herc1	+	protein_coding	102	opposite	2425_ID	chr9	66360641	66360742	102	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	77
2161	ENSMUST00000122794.1	ENSMUST00000208663.1	chr9	18574612	18574918	Gm25295	+	misc_RNA	chr9	18495517	18674530	Muc16	-	protein_coding	306	opposite	3216_ID	chr9	18574613	18574918	306	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	29	77
4020	ENSMUST00000169981.1	ENSMUST00000018851.13	chr12	110664891	110665408	Gm17111	-	antisense	chr12	110601451	110666945	Dync1h1	+	protein_coding	517	opposite	1635_ID	chr12	110664892	110665408	517	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	73	77
747	ENSMUST00000083138.1	ENSMUST00000114040.7	chr6	73141484	73141680	Gm24533	-	snoRNA	chr6	73017608	73221651	Dnah6	-	protein_coding	196	same	2900_ID	chr6	73141485	73141680	196	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	29	75
1569	ENSMUST00000104159.1	ENSMUST00000042614.12	chr5	121356843	121357001	Gm24671	+	snRNA	chr5	121220218	121368577	Hectd4	+	protein_coding	158	same	2962_ID	chr5	121356844	121357001	158	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	66	75
5825	ENSMUST00000188118.1	ENSMUST00000092070.12	chr18	12501189	12504426	Gm29200	-	antisense	chr18	12333818	12583013	Lama3	+	protein_coding	3237	opposite	4240_ID	chr18	12501190	12504426	3237	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	38	75
3257	ENSMUST00000157717.1	ENSMUST00000092070.12	chr18	12578423	12578537	Gm22340	-	rRNA	chr18	12333818	12583013	Lama3	+	protein_coding	114	opposite	1971_ID	chr18	12578424	12578537	114	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	72	74
3327	ENSMUST00000157891.1	ENSMUST00000218635.1	chr10	12793874	12793974	Gm23044	-	snRNA	chr10	12383379	12869365	Utrn	-	protein_coding	100	same	2259_ID	chr10	12793875	12793974	100	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	2	74
6503	ENSMUST00000200077.1	ENSMUST00000036019.4	chr5	96735546	96739364	Gm42604	-	antisense	chr5	96373954	96784728	Fras1	+	protein_coding	3818	opposite	4612_ID	chr5	96735547	96739364	3818	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	54	74
4962	ENSMUST00000181387.1	ENSMUST00000180037.7	chr17	74575380	74617119	Gm26749	-	antisense	chr17	74528294	74703356	Birc6	+	protein_coding	41739	opposite	3786_ID	chr17	74575381	74617119	41739	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	9	73
6296	ENSMUST00000198132.1	ENSMUST00000036019.4	chr5	96456388	96457743	Gm33050	-	antisense	chr5	96373954	96784728	Fras1	+	protein_coding	1355	opposite	4363_ID	chr5	96456389	96457743	1355	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	2	73
55	ENSMUST00000020301.13	ENSMUST00000105461.9	chr10	60346850	60372684	Vsir	+	protein_coding	chr10	60302749	60696490	Cdh23	-	protein_coding	25834	opposite	7517_ID	chr10	60346851	60372684	25834	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	39	70
313	ENSMUST00000053830.4	ENSMUST00000184063.2	chr4	128260211	128260957	Hmgb4	-	protein_coding	chr4	127988043	128567656	Csmd2	+	protein_coding	746	opposite	5584_ID	chr4	128260212	128260957	746	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	5	70
505	ENSMUST00000081321.4	ENSMUST00000209669.1	chr8	27447669	27495172	Poteg	+	protein_coding	chr8	27447099	27620917	Gm45861	+	protein_coding	47503	same	7065_ID	chr8	27447670	27495172	47503	*	+	Exon	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	1	70
1080	ENSMUST00000083808.1	ENSMUST00000100670.9	chr15	48551307	48551440	Gm25007	+	snRNA	chr15	47580637	48791989	Csmd3	-	protein_coding	133	opposite	3094_ID	chr15	48551308	48551440	133	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	3	70
1538	ENSMUST00000104047.1	ENSMUST00000060479.13	chr1	188622922	188623053	Gm25095	-	snoRNA	chr1	188263033	188965041	Ush2a	+	protein_coding	131	opposite	3127_ID	chr1	188622923	188623053	131	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	31	70
1709	ENSMUST00000104564.1	ENSMUST00000100670.9	chr15	47800672	47800809	Gm23530	+	snoRNA	chr15	47580637	48791989	Csmd3	-	protein_coding	137	opposite	2467_ID	chr15	47800673	47800809	137	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	32	70
2076	ENSMUST00000122601.1	ENSMUST00000060479.13	chr1	188760475	188760579	Gm25269	+	snRNA	chr1	188263033	188965041	Ush2a	+	protein_coding	104	same	3201_ID	chr1	188760476	188760579	104	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	46	70
2326	ENSMUST00000129158.1	ENSMUST00000082104.6	chr8	16226002	16232305	Gm16346	+	antisense	chr8	15892536	17535281	Csmd1	-	protein_coding	6303	opposite	1578_ID	chr8	16226003	16232305	6303	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	15	70
2384	ENSMUST00000131581.1	ENSMUST00000184063.2	chr4	128261043	128262990	Hmgb4os	+	antisense	chr4	127988043	128567656	Csmd2	+	protein_coding	1947	same	5585_ID	chr4	128261044	128262990	1947	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	5	70
2507	ENSMUST00000136749.1	ENSMUST00000209669.1	chr8	27604350	27620452	Gm1698	+	lincRNA	chr8	27447099	27620917	Gm45861	+	protein_coding	16102	same	1611_ID	chr8	27604351	27620452	16102	*	+	Exon	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	64	70
3397	ENSMUST00000158060.1	ENSMUST00000100467.9	chr5	144774424	144774553	Gm23995	+	snoRNA	chr5	144768793	144859778	Trrap	+	protein_coding	129	same	2664_ID	chr5	144774425	144774553	129	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	3	70
3935	ENSMUST00000164428.2	ENSMUST00000105461.9	chr10	60399725	60403559	Gm17455	+	protein_coding	chr10	60302749	60696490	Cdh23	-	protein_coding	3834	opposite	1680_ID	chr10	60399726	60403559	3834	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	29	70
4827	ENSMUST00000179945.2	ENSMUST00000184063.2	chr4	128133522	128166967	Csmd2os	-	antisense	chr4	127988043	128567656	Csmd2	+	protein_coding	33445	opposite	668_ID	chr4	128133523	128166967	33445	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	3	70
1778	ENSMUST00000104868.2	ENSMUST00000209669.1	chr8	27615816	27615904	Gm44493	+	miRNA	chr8	27447099	27620917	Gm45861	+	protein_coding	88	same	4891_ID	chr8	27615817	27615904	88	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	69	69
2388	ENSMUST00000131707.1	ENSMUST00000082104.6	chr8	16433185	16437040	Gm16347	+	antisense	chr8	15892536	17535281	Csmd1	-	protein_coding	3866	opposite	1579_ID	chr8	16433186	16437040	3855	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	7	69
3089	ENSMUST00000157267.1	ENSMUST00000082104.6	chr8	16852167	16852287	Gm25278	+	snoRNA	chr8	15892536	17535281	Csmd1	-	protein_coding	120	opposite	3206_ID	chr8	16852168	16852287	120	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	3	69
4362	ENSMUST00000175401.1	ENSMUST00000082104.6	chr8	16168756	16168838	Mir3106	-	miRNA	chr8	15892536	17535281	Csmd1	-	protein_coding	82	same	6069_ID	chr8	16168757	16168838	82	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	23	69
3899	ENSMUST00000162458.1	ENSMUST00000035288.16	chr10	86908760	86910013	Gm16280	+	antisense	chr10	86841197	87008025	Stab2	-	protein_coding	1253	opposite	1557_ID	chr10	86908761	86910013	1253	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	31	68
3854	ENSMUST00000161509.2	ENSMUST00000088448.11	chr1	20356451	20392300	4930486I03Rik	+	antisense	chr1	20057778	20618064	Pkhd1	-	protein_coding	35849	opposite	228_ID	chr1	20356452	20392300	35849	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	38	67
4119	ENSMUST00000174528.7	ENSMUST00000053177.13	chr5	101837457	101846410	Gm20548	+	antisense	chr5	101832955	102069921	Wdfy3	-	protein_coding	8995	opposite	1767_ID	chr5	101837458	101846410	8953	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	64	67
1231	ENSMUST00000093665.1	ENSMUST00000088448.11	chr1	20444810	20444912	Gm24162	-	snRNA	chr1	20057778	20618064	Pkhd1	-	protein_coding	102	same	2741_ID	chr1	20444811	20444912	102	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	36	66
2173	ENSMUST00000123129.1	ENSMUST00000028280.13	chr2	28025416	28030437	Gm13372	-	processed_transcript	chr2	27886424	28039514	Col5a1	+	protein_coding	5021	opposite	1125_ID	chr2	28025417	28030437	5021	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	63	66
3028	ENSMUST00000157103.1	ENSMUST00000004201.7	chr9	20807033	20807354	Gm26274	+	misc_RNA	chr9	20770049	20815067	Col5a3	-	protein_coding	321	opposite	3637_ID	chr9	20807034	20807354	321	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	6	66
413	ENSMUST00000066157.1	ENSMUST00000103234.1	chr2	125505088	125507881	Gm9913	+	antisense	chr2	125300626	125507993	Fbn1	-	protein_coding	2793	opposite	5525_ID	chr2	125505089	125507881	2793	*	+	Exon	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	1	65
1148	ENSMUST00000084713.4	ENSMUST00000161356.7	chr5	21910930	21954014	Gm10475	+	antisense	chr5	21884453	22344702	Reln	-	protein_coding	43084	opposite	880_ID	chr5	21910931	21954014	43084	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	43	65
2194	ENSMUST00000123894.1	ENSMUST00000071750.12	chr9	79688775	79690907	4930562D21Rik	+	antisense	chr9	79598990	79718518	Col12a1	-	protein_coding	2132	opposite	269_ID	chr9	79688776	79690907	2132	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	13	65
