"geneChr_Nested"	"geneStart_Nested"	"geneEnd_Nested"	"ENST_Nested"	"SYMBOL_Nested"	"Strand_Nested"	"biotype_Nested"	"geneChr_Host"	"geneStart_Host"	"geneEnd_Host"	"ENST_Host"	"SYMBOL_Host"	"Strand_Host"	"biotype_Host"	"Overlap_size"	"Strandness"
"chr18"	76014210	76015677	"ENSMUST00000238127.1"	"1700003O11Rik"	"-"	"antisense"	"chr18"	75820177	76148564	"ENSMUST00000058997.14"	"Zbtb7c"	"+"	"protein_coding"	1467	"opposite"
"chr14"	119749224	119751564	"ENSMUST00000188582.1"	"1700006F04Rik"	"+"	"sense_intronic"	"chr14"	119138340	119869815	"ENSMUST00000065904.4"	"Hs6st3"	"+"	"protein_coding"	2340	"same"
"chr10"	120364157	120384336	"ENSMUST00000160091.7"	"1700006J14Rik"	"+"	"antisense"	"chr10"	120361274	120476469	"ENSMUST00000072777.13"	"Hmga2"	"-"	"protein_coding"	20180	"opposite"
"chr3"	58141706	58163807	"ENSMUST00000188418.1"	"1700007F19Rik"	"-"	"lincRNA"	"chr3"	58117052	58165073	"ENSMUST00000197200.1"	"4921539H07Rik"	"+"	"lincRNA"	22101	"opposite"
"chr11"	59725916	59740154	"ENSMUST00000153431.1"	"1700007J10Rik"	"-"	"processed_transcript"	"chr11"	59662494	59780860	"ENSMUST00000072031.12"	"Mprip"	"+"	"protein_coding"	14238	"opposite"
"chr2"	171234008	171238991	"ENSMUST00000129075.1"	"1700007M16Rik"	"+"	"lincRNA"	"chr2"	171193268	171269200	"ENSMUST00000125631.7"	"Gm14266"	"+"	"lincRNA"	4983	"same"
"chr1"	187125137	187127852	"ENSMUST00000160380.2"	"1700007P06Rik"	"+"	"antisense"	"chr1"	187044647	187215465	"ENSMUST00000183819.7"	"Spata17"	"-"	"protein_coding"	2715	"opposite"
"chr5"	121835194	121835828	"ENSMUST00000198145.1"	"1700008B11Rik"	"+"	"antisense"	"chr5"	121815487	121836825	"ENSMUST00000136960.7"	"Sh2b3"	"-"	"protein_coding"	634	"opposite"
"chrX"	95732585	95733265	"ENSMUST00000096366.5"	"1700010D01Rik"	"-"	"lincRNA"	"chrX"	95711677	95924758	"ENSMUST00000150123.7"	"Zc3h12b"	"+"	"protein_coding"	680	"opposite"
"chr15"	64314496	64316076	"ENSMUST00000226773.1"	"1700010G06Rik"	"+"	"antisense"	"chr15"	64088538	64382919	"ENSMUST00000177374.7"	"Asap1"	"-"	"protein_coding"	1580	"opposite"
"chr5"	98553628	98566926	"ENSMUST00000189748.1"	"1700010H22Rik"	"-"	"lincRNA"	"chr5"	98329303	98802019	"ENSMUST00000080333.7"	"Cfap299"	"+"	"protein_coding"	13376	"opposite"
"chr16"	66657117	66664626	"ENSMUST00000174502.1"	"1700010K23Rik"	"+"	"antisense"	"chr16"	66655420	67620908	"ENSMUST00000114292.7"	"Cadm2"	"-"	"protein_coding"	7509	"opposite"
"chr3"	153296503	153298649	"ENSMUST00000197231.1"	"1700012D16Rik"	"-"	"sense_intronic"	"chr3"	153198265	153725174	"ENSMUST00000200397.4"	"St6galnac3"	"-"	"protein_coding"	2146	"same"
"chr13"	59740841	59744917	"ENSMUST00000180139.2"	"1700014D04Rik"	"-"	"protein_coding"	"chr13"	59726723	59750140	"ENSMUST00000224724.1"	"Gm46419"	"+"	"lincRNA"	5911	"opposite"
"chr3"	153467215	153478210	"ENSMUST00000197297.1"	"1700015C17Rik"	"-"	"sense_intronic"	"chr3"	153198265	153725174	"ENSMUST00000200397.4"	"St6galnac3"	"-"	"protein_coding"	10995	"same"
"chr15"	53621654	53623270	"ENSMUST00000227291.1"	"1700015H07Rik"	"+"	"antisense"	"chr15"	53453809	53902530	"ENSMUST00000078673.13"	"Samd12"	"-"	"protein_coding"	1616	"opposite"
"chr17"	66714453	66720485	"ENSMUST00000224424.1"	"1700016K05Rik"	"+"	"antisense"	"chr17"	66666946	67354073	"ENSMUST00000037974.9"	"Ptprm"	"-"	"protein_coding"	6032	"opposite"
"chr5"	77465487	77468851	"ENSMUST00000201654.1"	"1700017L05Rik"	"+"	"lincRNA"	"chr5"	77434033	77473219	"ENSMUST00000201510.1"	"Gm34728"	"+"	"lincRNA"	3364	"same"
"chr6"	126822376	126825177	"ENSMUST00000201350.1"	"1700018A23Rik"	"+"	"antisense"	"chr6"	126821720	126849125	"ENSMUST00000205002.2"	"Ndufa9"	"-"	"protein_coding"	2801	"opposite"
"chr8"	121531813	121544320	"ENSMUST00000182460.1"	"1700018B08Rik"	"-"	"protein_coding"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	13541	"opposite"
"chr5"	145042989	145045681	"ENSMUST00000031624.4"	"1700018F24Rik"	"+"	"protein_coding"	"chr5"	145007277	145084030	"ENSMUST00000151196.1"	"Kpna7"	"-"	"protein_coding"	2692	"opposite"
"chr6"	5963908	5977393	"ENSMUST00000130004.1"	"1700019G24Rik"	"-"	"antisense"	"chr6"	5725638	6028039	"ENSMUST00000115556.7"	"Dync1i1"	"+"	"protein_coding"	13485	"opposite"
"chr9"	119983278	119988092	"ENSMUST00000214403.1"	"1700019L13Rik"	"+"	"antisense"	"chr9"	119901615	120068283	"ENSMUST00000177637.1"	"Cx3cr1"	"-"	"protein_coding"	4947	"opposite"
"chr2"	130405258	130406070	"ENSMUST00000110281.1"	"1700020A23Rik"	"+"	"protein_coding"	"chr2"	130405238	130408256	"ENSMUST00000188900.1"	"Gm28372"	"+"	"protein_coding"	816	"same"
"chr19"	5502766	5503787	"ENSMUST00000189704.1"	"1700020D05Rik"	"-"	"protein_coding"	"chr19"	5492234	5510496	"ENSMUST00000237945.1"	"Snx32"	"-"	"protein_coding"	1021	"same"
"chrX"	69945299	69945978	"ENSMUST00000075654.1"	"1700020N15Rik"	"+"	"protein_coding"	"chrX"	69929258	70143588	"ENSMUST00000188663.1"	"1700111N16Rik"	"-"	"antisense"	679	"opposite"
"chr4"	117002165	117003012	"ENSMUST00000138729.1"	"1700021J08Rik"	"-"	"antisense"	"chr4"	116995316	117005277	"ENSMUST00000050067.9"	"Hectd3"	"+"	"protein_coding"	847	"opposite"
"chr13"	80884223	80885524	"ENSMUST00000161006.1"	"1700023H06Rik"	"-"	"processed_transcript"	"chr13"	80883409	80896042	"ENSMUST00000099356.9"	"Arrdc3"	"+"	"protein_coding"	1301	"opposite"
"chr14"	123987634	124015684	"ENSMUST00000190088.1"	"1700024B18Rik"	"+"	"antisense"	"chr14"	123977906	124677127	"ENSMUST00000095529.9"	"Fgf14"	"-"	"protein_coding"	28050	"opposite"
"chr7"	121589902	121591591	"ENSMUST00000205586.1"	"1700025J12Rik"	"+"	"lincRNA"	"chr7"	121589275	121609334	"ENSMUST00000206244.1"	"4933432K03Rik"	"-"	"antisense"	1689	"opposite"
"chr10"	83139149	83142038	"ENSMUST00000160997.1"	"1700025N21Rik"	"-"	"antisense"	"chr10"	82985497	83195900	"ENSMUST00000040110.7"	"Chst11"	"+"	"protein_coding"	2889	"opposite"
"chr6"	39063877	39067598	"ENSMUST00000186189.1"	"1700025N23Rik"	"-"	"antisense"	"chr6"	38918979	39084585	"ENSMUST00000003017.12"	"Tbxas1"	"+"	"protein_coding"	3721	"opposite"
"chr15"	78911965	78913660	"ENSMUST00000150472.1"	"1700027A07Rik"	"-"	"antisense"	"chr15"	78899666	78919032	"ENSMUST00000134703.7"	"Gm49510"	"+"	"protein_coding"	1695	"opposite"
"chr5"	64454812	64467943	"ENSMUST00000189767.2"	"1700027F09Rik"	"-"	"lincRNA"	"chr5"	64433954	64473588	"ENSMUST00000199362.1"	"Gm31363"	"+"	"lincRNA"	13131	"opposite"
"chr5"	107534710	107551542	"ENSMUST00000238787.1"	"1700028K03Rik"	"+"	"protein_coding"	"chr5"	107507620	107580596	"ENSMUST00000143074.1"	"Gm42669"	"+"	"protein_coding"	16834	"same"
"chr7"	131146438	131150580	"ENSMUST00000190866.6"	"1700029B22Rik"	"+"	"antisense"	"chr7"	130162450	133123350	"ENSMUST00000124096.7"	"Fgfr2"	"-"	"protein_coding"	4142	"opposite"
"chr17"	28905264	28906771	"ENSMUST00000125317.1"	"1700030A11Rik"	"+"	"antisense"	"chr17"	28896391	28915324	"ENSMUST00000062357.5"	"Bnip5"	"-"	"protein_coding"	1507	"opposite"
"chr12"	53303351	53309846	"ENSMUST00000222223.1"	"1700030L22Rik"	"-"	"antisense"	"chr12"	53248676	54072175	"ENSMUST00000101432.2"	"Npas3"	"+"	"protein_coding"	6495	"opposite"
"chr8"	121544381	121548342	"ENSMUST00000181133.2"	"1700030M09Rik"	"+"	"bidirectional_promoter_lncRNA"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	3961	"same"
"chr3"	40900195	40902543	"ENSMUST00000099123.4"	"1700034I23Rik"	"-"	"protein_coding"	"chr3"	40846969	40936307	"ENSMUST00000108078.8"	"Abhd18"	"+"	"protein_coding"	2348	"opposite"
"chr6"	146950328	146954422	"ENSMUST00000036592.14"	"1700034J05Rik"	"-"	"protein_coding"	"chr6"	146888486	147032025	"ENSMUST00000016631.13"	"Ppfibp1"	"+"	"protein_coding"	4094	"opposite"
"chr3"	85317518	85332030	"ENSMUST00000189046.1"	"1700036G14Rik"	"+"	"antisense"	"chr3"	84496425	85887516	"ENSMUST00000154148.7"	"Gm37240"	"-"	"protein_coding"	14512	"opposite"
"chr16"	3895178	3908653	"ENSMUST00000177519.1"	"1700037C18Rik"	"-"	"protein_coding"	"chr16"	3884647	3919517	"ENSMUST00000176233.1"	"Gm20695"	"+"	"protein_coding"	13511	"opposite"
"chr19"	44828492	44835938	"ENSMUST00000174082.1"	"1700039E22Rik"	"-"	"antisense"	"chr19"	44756044	44837851	"ENSMUST00000174490.8"	"Pax2"	"+"	"protein_coding"	7446	"opposite"
"chr12"	88632268	88665399	"ENSMUST00000222440.1"	"1700040E09Rik"	"+"	"lincRNA"	"chr12"	88631355	88706819	"ENSMUST00000220698.1"	"Gm48664"	"+"	"lincRNA"	33131	"same"
"chr15"	55436114	55439020	"ENSMUST00000187158.1"	"1700040F17Rik"	"-"	"antisense"	"chr15"	55307749	55520803	"ENSMUST00000023053.11"	"Col14a1"	"+"	"protein_coding"	2906	"opposite"
"chr15"	78670784	78676114	"ENSMUST00000230183.1"	"1700041B01Rik"	"+"	"antisense"	"chr15"	78667330	78718113	"ENSMUST00000229441.1"	"Elfn2"	"-"	"protein_coding"	5330	"opposite"
"chr11"	11868122	11885321	"ENSMUST00000151032.1"	"1700042O10Rik"	"+"	"antisense"	"chr11"	11814100	11898144	"ENSMUST00000178704.7"	"Ddc"	"-"	"protein_coding"	17199	"opposite"
"chr8"	26082608	26096522	"ENSMUST00000153552.8"	"1700047A11Rik"	"+"	"antisense"	"chr8"	26021420	26119224	"ENSMUST00000037182.13"	"Hook3"	"-"	"protein_coding"	13914	"opposite"
"chr14"	44191606	44213237	"ENSMUST00000227115.1"	"1700047E10Rik"	"-"	"antisense"	"chr14"	44170305	44213254	"ENSMUST00000226164.1"	"4930503E14Rik"	"-"	"protein_coding"	21631	"same"
"chr11"	58322987	58324439	"ENSMUST00000145068.1"	"1700047K16Rik"	"+"	"processed_transcript"	"chr11"	58317224	58330331	"ENSMUST00000186859.1"	"Zfp672"	"-"	"protein_coding"	1452	"opposite"
"chr5"	108763841	108768914	"ENSMUST00000189659.1"	"1700047L14Rik"	"+"	"antisense"	"chr5"	108729289	108774982	"ENSMUST00000212176.1"	"Rnf212"	"-"	"protein_coding"	5073	"opposite"
"chr16"	92308715	92312468	"ENSMUST00000132861.2"	"1700048M11Rik"	"-"	"antisense"	"chr16"	92301285	92313041	"ENSMUST00000063641.10"	"Smim11"	"+"	"protein_coding"	3753	"opposite"
"chr1"	92572373	92572749	"ENSMUST00000181755.1"	"1700054K02Rik"	"-"	"antisense"	"chr1"	92571321	92574397	"ENSMUST00000214239.1"	"Olfr1413"	"+"	"protein_coding"	376	"opposite"
"chr2"	118304913	118308166	"ENSMUST00000125654.1"	"1700054M17Rik"	"+"	"antisense"	"chr2"	118277109	118373419	"ENSMUST00000039160.2"	"Gpr176"	"-"	"protein_coding"	3253	"opposite"
"chr1"	184033029	184034301	"ENSMUST00000193919.1"	"1700056E22Rik"	"-"	"protein_coding"	"chr1"	184013301	184037274	"ENSMUST00000139839.1"	"Dusp10"	"+"	"protein_coding"	1272	"opposite"
"chr7"	19258491	19259739	"ENSMUST00000159981.1"	"1700058P15Rik"	"+"	"antisense"	"chr7"	19256928	19271817	"ENSMUST00000032561.8"	"Vasp"	"-"	"protein_coding"	1248	"opposite"
"chr2"	158192007	158195749	"ENSMUST00000109506.2"	"1700060C20Rik"	"+"	"antisense"	"chr2"	158182532	158229222	"ENSMUST00000103121.9"	"D630003M21Rik"	"-"	"protein_coding"	3742	"opposite"
"chr4"	53562982	53564697	"ENSMUST00000138377.1"	"1700060J05Rik"	"-"	"antisense"	"chr4"	53440412	53622478	"ENSMUST00000102911.9"	"Slc44a1"	"+"	"protein_coding"	1715	"opposite"
"chr9"	110986200	110987804	"ENSMUST00000185439.1"	"1700061E17Rik"	"+"	"antisense"	"chr9"	110984934	110989713	"ENSMUST00000199891.1"	"Rtp3"	"-"	"protein_coding"	1604	"opposite"
"chr13"	41800782	41801795	"ENSMUST00000154159.1"	"1700061E18Rik"	"+"	"antisense"	"chr13"	41763147	41847488	"ENSMUST00000072012.9"	"Adtrp"	"-"	"protein_coding"	1013	"opposite"
"chr5"	91766241	91767300	"ENSMUST00000187067.1"	"1700063O14Rik"	"-"	"lincRNA"	"chr5"	91763324	91767914	"ENSMUST00000191369.1"	"Gm28271"	"-"	"lincRNA"	1059	"same"
"chr18"	57504421	57533752	"ENSMUST00000150994.1"	"1700066O22Rik"	"-"	"lincRNA"	"chr18"	57373454	57552201	"ENSMUST00000130696.7"	"4930511M06Rik"	"-"	"antisense"	29331	"same"
"chr5"	73157013	73157884	"ENSMUST00000146728.2"	"1700071G01Rik"	"+"	"antisense"	"chr5"	73020321	73256619	"ENSMUST00000101127.11"	"Fryl"	"-"	"protein_coding"	871	"opposite"
"chr17"	43588339	43591509	"ENSMUST00000169733.7"	"1700071M16Rik"	"-"	"antisense"	"chr17"	43568268	43612201	"ENSMUST00000024706.11"	"Pla2g7"	"+"	"protein_coding"	4103	"opposite"
"chr2"	4132062	4141141	"ENSMUST00000141488.7"	"1700080N15Rik"	"-"	"antisense"	"chr2"	4017743	4614041	"ENSMUST00000177457.7"	"Frmd4a"	"+"	"protein_coding"	9079	"opposite"
"chr12"	71383153	71384208	"ENSMUST00000190526.1"	"1700083H02Rik"	"-"	"lincRNA"	"chr12"	71355440	71498711	"ENSMUST00000221650.1"	"Gm40438"	"+"	"lincRNA"	1055	"opposite"
"chr12"	82932519	82939155	"ENSMUST00000187123.1"	"1700085C21Rik"	"-"	"antisense"	"chr12"	82617498	83162056	"ENSMUST00000186458.6"	"Rgs6"	"+"	"protein_coding"	6636	"opposite"
"chr15"	73249545	73264120	"ENSMUST00000228696.1"	"1700085D07Rik"	"+"	"antisense"	"chr15"	73205101	73423191	"ENSMUST00000110036.10"	"Ptk2"	"-"	"protein_coding"	14575	"opposite"
"chr11"	65151909	65159891	"ENSMUST00000108696.6"	"1700086D15Rik"	"-"	"protein_coding"	"chr11"	65002038	65162961	"ENSMUST00000047463.14"	"Arhgap44"	"-"	"protein_coding"	7982	"same"
"chr14"	30770680	30778004	"ENSMUST00000227408.1"	"1700087M22Rik"	"-"	"antisense"	"chr14"	30715614	30822721	"ENSMUST00000054230.11"	"Sfmbt1"	"+"	"protein_coding"	7324	"opposite"
"chr8"	77624171	77628957	"ENSMUST00000134397.1"	"1700092C02Rik"	"+"	"lincRNA"	"chr8"	77610859	77686572	"ENSMUST00000139140.7"	"4933431K23Rik"	"+"	"processed_transcript"	4786	"same"
"chr10"	76389014	76401507	"ENSMUST00000190491.1"	"1700094J05Rik"	"+"	"antisense"	"chr10"	76351262	76442786	"ENSMUST00000217838.1"	"Pcnt"	"-"	"protein_coding"	12493	"opposite"
"chr5"	112793291	112801701	"ENSMUST00000182801.7"	"1700095B10Rik"	"+"	"antisense"	"chr5"	112688875	112896362	"ENSMUST00000086617.10"	"Myo18b"	"-"	"protein_coding"	8410	"opposite"
"chr4"	138137594	138138518	"ENSMUST00000124620.1"	"1700095J12Rik"	"-"	"antisense"	"chr4"	137993021	138208508	"ENSMUST00000084215.11"	"Eif4g3"	"+"	"protein_coding"	924	"opposite"
"chr17"	30622440	30626905	"ENSMUST00000188852.1"	"1700097N02Rik"	"-"	"bidirectional_promoter_lncRNA"	"chr17"	30459501	30923831	"ENSMUST00000235858.1"	"Gm50252"	"-"	"processed_transcript"	4465	"same"
"chr13"	102760254	102761896	"ENSMUST00000171722.1"	"1700099I09Rik"	"+"	"antisense"	"chr13"	102732490	103334460	"ENSMUST00000167058.7"	"Mast4"	"-"	"protein_coding"	1642	"opposite"
"chr13"	70573240	70576110	"ENSMUST00000187681.6"	"1700100L14Rik"	"+"	"antisense"	"chr13"	70551941	70596253	"ENSMUST00000223102.1"	"Ice1"	"-"	"protein_coding"	2870	"opposite"
"chr14"	122229904	122233654	"ENSMUST00000187423.1"	"1700108J01Rik"	"-"	"antisense"	"chr14"	122181703	122402234	"ENSMUST00000026625.6"	"Clybl"	"+"	"protein_coding"	3750	"opposite"
"chr15"	77084442	77096314	"ENSMUST00000181870.1"	"1700109K24Rik"	"+"	"antisense"	"chr15"	77078989	77306928	"ENSMUST00000171751.9"	"Rbfox2"	"-"	"protein_coding"	11917	"opposite"
"chr9"	40323425	40343564	"ENSMUST00000140807.8"	"1700110K17Rik"	"+"	"antisense"	"chr9"	40293238	40531383	"ENSMUST00000119373.8"	"Gramd1b"	"-"	"protein_coding"	20139	"opposite"
"chr6"	36937047	36985784	"ENSMUST00000031863.2"	"1700111E14Rik"	"+"	"antisense"	"chr6"	36846021	37299974	"ENSMUST00000101532.9"	"Dgki"	"-"	"protein_coding"	48737	"opposite"
"chr17"	88294504	88306887	"ENSMUST00000234143.1"	"1700116H05Rik"	"-"	"lincRNA"	"chr17"	88253482	88388699	"ENSMUST00000234514.1"	"Gm31615"	"-"	"lincRNA"	12383	"same"
"chr16"	34935853	34939329	"ENSMUST00000187558.1"	"1700119H24Rik"	"-"	"antisense"	"chr16"	34784920	35002420	"ENSMUST00000023538.8"	"Mylk"	"+"	"protein_coding"	3476	"opposite"
"chr13"	91861431	91862044	"ENSMUST00000122270.2"	"1700119I11Rik"	"+"	"antisense"	"chr13"	91853386	91876885	"ENSMUST00000022122.3"	"Ckmt2"	"-"	"protein_coding"	613	"opposite"
"chr8"	87500048	87501231	"ENSMUST00000182952.1"	"1700120C18Rik"	"-"	"lincRNA"	"chr8"	87460468	87525552	"ENSMUST00000210935.1"	"Gm2694"	"+"	"lincRNA"	1183	"opposite"
"chr18"	74525139	74531124	"ENSMUST00000152951.1"	"1700120E14Rik"	"-"	"antisense"	"chr18"	74442536	74771493	"ENSMUST00000074157.12"	"Myo5b"	"+"	"protein_coding"	5985	"opposite"
"chr7"	127603899	127604445	"ENSMUST00000191038.1"	"1700120K04Rik"	"-"	"antisense"	"chr7"	127588766	127604799	"ENSMUST00000205694.1"	"Rnf40"	"+"	"protein_coding"	546	"opposite"
"chr14"	67324893	67335928	"ENSMUST00000177127.1"	"1700120O09Rik"	"-"	"processed_transcript"	"chr14"	67233585	67430918	"ENSMUST00000176161.7"	"Ebf2"	"+"	"protein_coding"	11035	"opposite"
"chr1"	59534810	59537229	"ENSMUST00000186973.1"	"1700122D07Rik"	"-"	"antisense"	"chr1"	59532990	59548788	"ENSMUST00000191318.6"	"Gm28411"	"-"	"antisense"	2419	"same"
"chr1"	59534810	59537229	"ENSMUST00000186973.1"	"1700122D07Rik"	"-"	"antisense"	"chr1"	59516263	59634509	"ENSMUST00000114243.7"	"Gm973"	"+"	"protein_coding"	2419	"opposite"
"chr6"	96164496	96166243	"ENSMUST00000090061.5"	"1700123L14Rik"	"-"	"protein_coding"	"chr6"	96113153	96657198	"ENSMUST00000122120.7"	"Tafa1"	"+"	"protein_coding"	1747	"opposite"
"chr16"	5975584	5998496	"ENSMUST00000190515.1"	"1700123O21Rik"	"+"	"sense_intronic"	"chr16"	5885354	7353045	"ENSMUST00000230658.1"	"Rbfox1"	"+"	"protein_coding"	22912	"same"
"chr4"	124890887	124894782	"ENSMUST00000154947.1"	"1700125G02Rik"	"-"	"antisense"	"chr4"	124885798	124917800	"ENSMUST00000149146.1"	"Epha10"	"+"	"protein_coding"	3895	"opposite"
"chr8"	68368465	68375710	"ENSMUST00000139265.1"	"1700125H03Rik"	"+"	"antisense"	"chr8"	68356780	68735146	"ENSMUST00000078350.12"	"Csgalnact1"	"-"	"protein_coding"	7277	"opposite"
"chr6"	143201396	143221448	"ENSMUST00000204351.1"	"1700126G02Rik"	"-"	"antisense"	"chr6"	143167253	143232307	"ENSMUST00000205256.1"	"Etnk1"	"+"	"protein_coding"	20052	"opposite"
"chr15"	95097541	95162394	"ENSMUST00000189291.6"	"1700129L04Rik"	"-"	"sense_intronic"	"chr15"	95075229	95528559	"ENSMUST00000229933.1"	"Nell2"	"-"	"protein_coding"	64853	"same"
"chr8"	124305131	124306507	"ENSMUST00000162325.1"	"1810008B01Rik"	"-"	"antisense"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	1376	"opposite"
"chr8"	124305131	124306507	"ENSMUST00000162325.1"	"1810008B01Rik"	"-"	"antisense"	"chr8"	124231390	124345722	"ENSMUST00000034458.8"	"Galnt2"	"+"	"protein_coding"	1376	"opposite"
"chr19"	8888852	8890881	"ENSMUST00000096251.9"	"1810009A15Rik"	"+"	"protein_coding"	"chr19"	8883731	8892627	"ENSMUST00000187504.6"	"Lbhd1"	"+"	"protein_coding"	2029	"same"
"chr2"	26138545	26139543	"ENSMUST00000155199.1"	"1810012K08Rik"	"+"	"lincRNA"	"chr2"	26136813	26140521	"ENSMUST00000133808.1"	"Tmem250-ps"	"-"	"protein_coding"	998	"opposite"
"chr13"	64248727	64271852	"ENSMUST00000222277.1"	"1810034E14Rik"	"+"	"antisense"	"chr13"	64189267	64274988	"ENSMUST00000221634.1"	"Cdc14b"	"-"	"protein_coding"	23153	"opposite"
"chr5"	148958669	148969882	"ENSMUST00000203662.1"	"1810059H22Rik"	"-"	"processed_transcript"	"chr5"	148893774	148995147	"ENSMUST00000147473.5"	"Gm42791"	"-"	"protein_coding"	16375	"same"
"chr5"	148958669	148969882	"ENSMUST00000203662.1"	"1810059H22Rik"	"-"	"processed_transcript"	"chr5"	148948896	148996566	"ENSMUST00000133694.1"	"Gm15406"	"-"	"lincRNA"	16375	"same"
"chr9"	60334141	60334968	"ENSMUST00000214235.1"	"2010001M07Rik"	"+"	"antisense"	"chr9"	59966930	60511035	"ENSMUST00000098660.9"	"Thsd4"	"-"	"protein_coding"	827	"opposite"
"chr2"	158070366	158091797	"ENSMUST00000186977.1"	"2010009K17Rik"	"-"	"antisense"	"chr2"	158028798	158132297	"ENSMUST00000152452.7"	"Rprd1b"	"+"	"protein_coding"	21431	"opposite"
"chr1"	185312186	185313803	"ENSMUST00000192375.1"	"2010103J01Rik"	"+"	"antisense"	"chr1"	185284725	185329396	"ENSMUST00000027921.10"	"Iars2"	"-"	"protein_coding"	1617	"opposite"
"chr17"	86285163	86287178	"ENSMUST00000191222.1"	"2010106C02Rik"	"-"	"antisense"	"chr17"	86167784	86657919	"ENSMUST00000097275.8"	"Prkce"	"+"	"protein_coding"	2015	"opposite"
"chr17"	29614459	29614770	"ENSMUST00000234617.1"	"2010106G04Rik"	"-"	"bidirectional_promoter_lncRNA"	"chr17"	29549798	29682012	"ENSMUST00000150388.2"	"Gm28052"	"+"	"processed_transcript"	311	"opposite"
"chr16"	32454597	32456149	"ENSMUST00000232596.1"	"2210020O09Rik"	"-"	"antisense"	"chr16"	32430923	32475070	"ENSMUST00000079791.10"	"Pcyt1a"	"+"	"protein_coding"	1552	"opposite"
"chr18"	57632078	57638585	"ENSMUST00000236285.1"	"2210409D07Rik"	"-"	"antisense"	"chr18"	57533779	57731065	"ENSMUST00000079738.9"	"Ccdc192"	"+"	"protein_coding"	6507	"opposite"
"chr1"	180952063	180958149	"ENSMUST00000128545.2"	"2210411M09Rik"	"-"	"antisense"	"chr1"	180942458	180975112	"ENSMUST00000027800.14"	"Tmem63a"	"+"	"protein_coding"	6086	"opposite"
"chr5"	87969458	87972870	"ENSMUST00000007601.3"	"2310003L06Rik"	"+"	"protein_coding"	"chr5"	87908578	87979351	"ENSMUST00000190123.1"	"1700066N21Rik"	"-"	"antisense"	3412	"opposite"
