"geneChr_Nested"	"geneStart_Nested"	"geneEnd_Nested"	"ENST_Nested"	"SYMBOL_Nested"	"Strand_Nested"	"biotype_Nested"	"geneChr_Host"	"geneStart_Host"	"geneEnd_Host"	"ENST_Host"	"SYMBOL_Host"	"Strand_Host"	"biotype_Host"	"Overlap_size"	"Strandness"	"pairid"
"11"	"chr20"	62492850	62494341	"ENST00000369916.5_2"	"ABHD16B"	"+"	"protein_coding"	"chr20"	62492564	62495646	"ENST00000601296.2_2"	"AL118506.1"	"-"	"lncRNA"	1491	"opposite"	"11_ID"
"12"	"chr17"	9974206	9974321	"ENST00000408559.1"	"AC000003.1"	"+"	"miRNA"	"chr17"	9813922	10101923	"ENST00000432992.7_4"	"GAS7"	"-"	"protein_coding"	115	"opposite"	"12_ID"
"13"	"chr22"	23478806	23478897	"ENST00000408142.1"	"AC000029.1"	"+"	"miRNA"	"chr22"	23401592	23484177	"ENST00000216036.9_4"	"RSPH14"	"-"	"protein_coding"	91	"opposite"	"13_ID"
"14"	"chr1"	110235738	110236364	"ENST00000562538.1_3"	"AC000032.1"	"-"	"lncRNA"	"chr1"	110230435	110251661	"ENST00000490021.2_1"	"GSTM1"	"+"	"processed_transcript"	626	"opposite"	"14_ID"
"15"	"chr1"	110235738	110236364	"ENST00000562538.1_3"	"AC000032.1"	"-"	"lncRNA"	"chr1"	110210643	110252171	"ENST00000369831.6_1"	"GSTM2"	"+"	"protein_coding"	626	"opposite"	"15_ID"
"16"	"chr22"	29876208	29877102	"ENST00000634116.1_4"	"AC000035.1"	"-"	"lncRNA"	"chr22"	29876206	29887379	"ENST00000310624.7_2"	"NEFH"	"+"	"protein_coding"	894	"opposite"	"16_ID"
"17"	"chr7"	117244844	117287469	"ENST00000456270.1_3"	"AC000061.1"	"-"	"lncRNA"	"chr7"	117120078	117308719	"ENST00000003084.11_2"	"CFTR"	"+"	"protein_coding"	42625	"opposite"	"17_ID"
"18"	"chr7"	92282668	92296397	"ENST00000653602.1_1"	"AC000065.1"	"+"	"lncRNA"	"chr7"	92234234	92465887	"ENST00000424848.3_4"	"CDK6"	"-"	"protein_coding"	19178	"opposite"	"18_ID"
"19"	"chr7"	92267511	92271630	"ENST00000661747.1_3"	"AC000065.2"	"-"	"lncRNA"	"chr7"	92234234	92465887	"ENST00000424848.3_4"	"CDK6"	"-"	"protein_coding"	4119	"same"	"19_ID"
"20"	"chr22"	19444025	19444485	"ENST00000608816.1_1"	"AC000068.2"	"+"	"lncRNA"	"chr22"	19437433	19466716	"ENST00000263202.15_4"	"UFD1"	"-"	"protein_coding"	460	"opposite"	"20_ID"
"21"	"chr22"	19441701	19442128	"ENST00000607934.1_1"	"AC000068.3"	"+"	"lncRNA"	"chr22"	19437433	19466716	"ENST00000263202.15_4"	"UFD1"	"-"	"protein_coding"	427	"opposite"	"21_ID"
"22"	"chr22"	19183912	19187594	"ENST00000658236.1_1"	"AC000072.1"	"+"	"lncRNA"	"chr22"	19166985	19279242	"ENST00000427926.6_5"	"CLTCL1"	"-"	"protein_coding"	3682	"opposite"	"22_ID"
"23"	"chr7"	91829327	91836171	"ENST00000414227.1_3"	"AC000120.1"	"-"	"lncRNA"	"chr7"	91828282	91875414	"ENST00000394507.5_5"	"KRIT1"	"-"	"protein_coding"	6844	"same"	"23_ID"
"24"	"chr7"	91829327	91836171	"ENST00000414227.1_3"	"AC000120.1"	"-"	"lncRNA"	"chr7"	91761087	91875238	"ENST00000650585.1_3"	"AC000120.3"	"-"	"protein_coding"	6844	"same"	"24_ID"
"25"	"chr7"	126990181	126991577	"ENST00000418215.1_1"	"AC000123.1"	"+"	"lncRNA"	"chr7"	126986843	127013619	"ENST00000485577.1_3"	"ZNF800"	"-"	"processed_transcript"	1396	"opposite"	"25_ID"
"26"	"chr13"	77602078	77602617	"ENST00000620512.1_1"	"AC001226.1"	"+"	"lncRNA"	"chr13"	77600901	77652086	"ENST00000636737.1_2"	"MYCBP2-AS1"	"+"	"lncRNA"	539	"same"	"26_ID"
"27"	"chr16"	73048217	73048375	"ENST00000606707.1_1"	"AC002044.1"	"-"	"lncRNA"	"chr16"	72816783	73925770	"ENST00000641206.2_5"	"ZFHX3"	"-"	"protein_coding"	158	"same"	"27_ID"
"28"	"chr22"	51179020	51181948	"ENST00000532913.1_3"	"AC002056.2"	"-"	"lncRNA"	"chr22"	51176631	51183767	"ENST00000216139.10_2"	"ACR"	"+"	"protein_coding"	2928	"opposite"	"28_ID"
"29"	"chr7"	126173718	126177349	"ENST00000660824.1_1"	"AC002057.1"	"+"	"lncRNA"	"chr7"	126078651	126892995	"ENST00000339582.7_4"	"GRM8"	"-"	"protein_coding"	3631	"opposite"	"29_ID"
"30"	"chr7"	126135365	126171390	"ENST00000657493.1_1"	"AC002057.2"	"+"	"lncRNA"	"chr7"	126078651	126892995	"ENST00000339582.7_4"	"GRM8"	"-"	"protein_coding"	36025	"opposite"	"30_ID"
"31"	"chr22"	29712732	29713209	"ENST00000608014.1_1"	"AC002059.1"	"-"	"lncRNA"	"chr22"	29709491	29715668	"ENST00000608559.1_3"	"RASL10A"	"-"	"processed_transcript"	477	"same"	"31_ID"
"32"	"chr7"	89895347	89899530	"ENST00000420245.1_3"	"AC002064.2"	"-"	"lncRNA"	"chr7"	89874487	89940377	"ENST00000389297.8_3"	"CFAP69"	"+"	"protein_coding"	4183	"opposite"	"32_ID"
"33"	"chr7"	115985908	115985998	"ENST00000401257.1"	"AC002066.2"	"-"	"miRNA"	"chr7"	115878313	116139519	"ENST00000446355.2_3"	"AC002066.1"	"-"	"lncRNA"	90	"same"	"33_ID"
"34"	"chr7"	115985908	115985998	"ENST00000401257.1"	"AC002066.2"	"-"	"miRNA"	"chr7"	115928126	116146162	"ENST00000472470.5_1"	"CAV2"	"+"	"processed_transcript"	90	"opposite"	"34_ID"
"35"	"chr7"	93940449	93976375	"ENST00000649265.1_1"	"AC002074.2"	"+"	"lncRNA"	"chr7"	93907991	94021508	"ENST00000642601.1_3"	"AC002074.1"	"-"	"lncRNA"	35926	"opposite"	"35_ID"
"36"	"chr17"	26688622	26689881	"ENST00000577850.1_3"	"AC002094.2"	"-"	"lncRNA"	"chr17"	26684669	26708716	"ENST00000591482.1_1"	"AC002094.1"	"+"	"lncRNA"	1259	"opposite"	"36_ID"
"37"	"chr17"	26688622	26689881	"ENST00000577850.1_3"	"AC002094.2"	"-"	"lncRNA"	"chr17"	26684669	26690705	"ENST00000292114.8_2"	"TMEM199"	"+"	"protein_coding"	1259	"opposite"	"37_ID"
"38"	"chr17"	26691309	26695033	"ENST00000555059.2_5"	"AC002094.3"	"-"	"protein_coding"	"chr17"	26684669	26708716	"ENST00000591482.1_1"	"AC002094.1"	"+"	"lncRNA"	3724	"opposite"	"38_ID"
"39"	"chr17"	26700274	26700581	"ENST00000613598.1_1"	"AC002094.4"	"+"	"lncRNA"	"chr17"	26684669	26708716	"ENST00000591482.1_1"	"AC002094.1"	"+"	"lncRNA"	307	"same"	"39_ID"
"40"	"chr17"	26700274	26700581	"ENST00000613598.1_1"	"AC002094.4"	"+"	"lncRNA"	"chr17"	26691377	26725151	"ENST00000379061.8_2"	"SARM1"	"+"	"processed_transcript"	307	"same"	"40_ID"
"41"	"chr19"	35753748	35755707	"ENST00000602262.1_1"	"AC002128.1"	"+"	"lncRNA"	"chr19"	35739294	35758865	"ENST00000602122.5_1"	"LSR"	"+"	"protein_coding"	1959	"same"	"41_ID"
"42"	"chr19"	35742342	35744542	"ENST00000604161.1_3"	"AC002128.2"	"-"	"lncRNA"	"chr19"	35739294	35758865	"ENST00000602122.5_1"	"LSR"	"+"	"protein_coding"	2200	"opposite"	"42_ID"
"43"	"chr19"	19717158	19719469	"ENST00000559614.2_1"	"AC002306.1"	"+"	"lncRNA"	"chr19"	19672515	19729502	"ENST00000557978.6_3"	"PBX4"	"-"	"nonsense_mediated_decay"	2311	"opposite"	"43_ID"
"44"	"chr17"	10584050	10587305	"ENST00000584139.1_1"	"AC002347.2"	"+"	"lncRNA"	"chr17"	10575790	10600850	"ENST00000255390.10_4"	"SCO1"	"-"	"protein_coding"	3255	"opposite"	"44_ID"
"45"	"chr12"	111389486	111395616	"ENST00000546852.5_3"	"AC002351.1"	"-"	"lncRNA"	"chr12"	111374381	111396897	"ENST00000553177.6_4"	"LINC01405"	"+"	"lncRNA"	6138	"opposite"	"45_ID"
"46"	"chr12"	111925281	111925382	"ENST00000581907.1"	"AC002395.1"	"-"	"miRNA"	"chr12"	111881288	112036926	"ENST00000642389.2_4"	"ATXN2"	"-"	"nonsense_mediated_decay"	101	"same"	"46_ID"
"47"	"chr17"	48212950	48223541	"ENST00000451776.1_1"	"AC002401.1"	"+"	"lncRNA"	"chr17"	48211100	48228038	"ENST00000612501.2_4"	"PPP1R9B"	"-"	"protein_coding"	10591	"opposite"	"47_ID"
"48"	"chr17"	48178067	48179284	"ENST00000511361.1_3"	"AC002401.2"	"-"	"lncRNA"	"chr17"	48172714	48189516	"ENST00000503176.6_2"	"PDK2"	"+"	"protein_coding"	1217	"opposite"	"48_ID"
"49"	"chr17"	48175823	48176263	"ENST00000620020.1_1"	"AC002401.3"	"-"	"lncRNA"	"chr17"	48172714	48189516	"ENST00000503176.6_2"	"PDK2"	"+"	"protein_coding"	440	"opposite"	"49_ID"
"50"	"chr7"	90219936	90226667	"ENST00000412669.1_4"	"AC002456.1"	"-"	"lncRNA"	"chr7"	90095737	90419943	"ENST00000449528.5_3"	"CDK14"	"+"	"protein_coding"	6735	"opposite"	"50_ID"
"51"	"chr7"	90098952	90142711	"ENST00000509356.2_2"	"AC002456.2"	"+"	"protein_coding"	"chr7"	90095737	90419943	"ENST00000449528.5_3"	"CDK14"	"+"	"protein_coding"	43759	"same"	"51_ID"
"52"	"chr7"	90098952	90142711	"ENST00000509356.2_2"	"AC002456.2"	"+"	"protein_coding"	"chr7"	90034894	90142716	"ENST00000451941.6_1"	"CLDN12"	"+"	"processed_transcript"	43759	"same"	"52_ID"
"53"	"chr7"	90659463	90663040	"ENST00000664362.1_3"	"AC002458.1"	"-"	"lncRNA"	"chr7"	90225634	90839905	"ENST00000380050.8_3"	"CDK14"	"+"	"protein_coding"	3577	"opposite"	"53_ID"
"54"	"chr4"	149862092	149863530	"ENST00000504394.1_3"	"AC002460.1"	"-"	"lncRNA"	"chr4"	149366918	149945776	"ENST00000661928.1_1"	"AC002460.2"	"+"	"lncRNA"	1475	"opposite"	"54_ID"
"55"	"chr7"	116972814	116990150	"ENST00000667297.1_2"	"AC002465.1"	"-"	"lncRNA"	"chr7"	116927173	117188729	"ENST00000673785.1_3"	"CFTR"	"+"	"protein_coding"	17336	"opposite"	"55_ID"
"56"	"chr22"	21335649	21336044	"ENST00000610278.1_1"	"AC002470.1"	"-"	"lncRNA"	"chr22"	21333750	21352410	"ENST00000479606.5_2"	"AC002470.2"	"+"	"lncRNA"	395	"opposite"	"56_ID"
"57"	"chrX"	119058423	119058513	"ENST00000581061.1"	"AC002477.1"	"-"	"miRNA"	"chrX"	119054634	119077714	"ENST00000371410.5_5"	"NKAP"	"-"	"protein_coding"	90	"same"	"57_ID"
"58"	"chr7"	22602955	22613615	"ENST00000435127.1_1"	"AC002480.1"	"+"	"lncRNA"	"chr7"	22532295	22672544	"ENST00000439708.1_4"	"STEAP1B"	"-"	"protein_coding"	10660	"opposite"	"58_ID"
"59"	"chr7"	22629316	22642155	"ENST00000658234.1_1"	"AC002480.2"	"+"	"lncRNA"	"chr7"	22611282	22767232	"ENST00000650428.1_3"	"STEAP1B"	"-"	"processed_transcript"	12839	"opposite"	"59_ID"
"60"	"chr16"	31799522	31802314	"ENST00000570073.2_1"	"AC002519.1"	"+"	"lncRNA"	"chr16"	31724567	31806190	"ENST00000531864.6_1"	"ZNF720"	"+"	"processed_transcript"	2792	"same"	"60_ID"
"61"	"chr7"	116731731	116737316	"ENST00000665127.1_3"	"AC002542.6"	"-"	"lncRNA"	"chr7"	116593291	116870150	"ENST00000393446.6_6"	"ST7"	"+"	"protein_coding"	5585	"opposite"	"61_ID"
"62"	"chr7"	116731731	116737316	"ENST00000665127.1_3"	"AC002542.6"	"-"	"lncRNA"	"chr7"	116594516	116738860	"ENST00000471110.5_1"	"ST7-OT4"	"+"	"lncRNA"	5585	"opposite"	"62_ID"
"63"	"chr7"	116731731	116737316	"ENST00000665127.1_3"	"AC002542.6"	"-"	"lncRNA"	"chr7"	116594444	116759773	"ENST00000421345.5_3"	"AC106873.8"	"+"	"protein_coding"	5585	"opposite"	"63_ID"
"64"	"chr7"	116731731	116737316	"ENST00000665127.1_3"	"AC002542.6"	"-"	"lncRNA"	"chr7"	116712480	116785612	"ENST00000432541.5_3"	"ST7-AS2"	"-"	"lncRNA"	5585	"same"	"64_ID"
"65"	"chr17"	67473279	67497896	"ENST00000585537.1_3"	"AC002546.1"	"-"	"lncRNA"	"chr17"	67410837	67550006	"ENST00000590474.7_3"	"MAP2K6"	"+"	"protein_coding"	24617	"opposite"	"65_ID"
"66"	"chr16"	19717672	19726705	"ENST00000565916.1_1"	"AC002550.1"	"+"	"lncRNA"	"chr16"	19713258	19729549	"ENST00000219837.12_6"	"KNOP1"	"-"	"protein_coding"	9033	"opposite"	"66_ID"
"67"	"chr16"	19705356	19705750	"ENST00000621246.1_1"	"AC002550.2"	"-"	"lncRNA"	"chr16"	19566736	19712485	"ENST00000251143.9_3"	"VPS35L"	"+"	"protein_coding"	394	"opposite"	"67_ID"
"68"	"chr16"	27654519	27655984	"ENST00000569881.1_1"	"AC002551.1"	"+"	"lncRNA"	"chr16"	27561464	27791690	"ENST00000261588.9_5"	"KATNIP"	"+"	"protein_coding"	1465	"same"	"68_ID"
"69"	"chr17"	15943785	15944587	"ENST00000442828.2_1"	"AC002553.1"	"+"	"lncRNA"	"chr17"	15932470	16118848	"ENST00000268712.8_5"	"NCOR1"	"-"	"protein_coding"	802	"opposite"	"69_ID"
"70"	"chr17"	15943785	15944587	"ENST00000442828.2_1"	"AC002553.1"	"+"	"lncRNA"	"chr17"	15928401	15948329	"ENST00000470649.1_6"	"TTC19"	"+"	"protein_coding"	802	"same"	"70_ID"
"71"	"chr17"	15926636	15926967	"ENST00000616896.1_1"	"AC002553.2"	"-"	"lncRNA"	"chr17"	15903137	15932718	"ENST00000261647.10_5"	"TTC19"	"+"	"protein_coding"	331	"opposite"	"71_ID"
"72"	"chr17"	45195867	45195957	"ENST00000408089.1"	"AC002558.1"	"+"	"miRNA"	"chr17"	45195068	45266661	"ENST00000066544.8_5"	"CDC27"	"-"	"protein_coding"	90	"opposite"	"72_ID"
"73"	"chr17"	45247191	45248415	"ENST00000572193.1_1"	"AC002558.2"	"+"	"lncRNA"	"chr17"	45195068	45266661	"ENST00000066544.8_5"	"CDC27"	"-"	"protein_coding"	1224	"opposite"	"73_ID"
"74"	"chr17"	45237763	45245089	"ENST00000647948.1_3"	"AC002558.3"	"-"	"lncRNA"	"chr17"	45195068	45266661	"ENST00000066544.8_5"	"CDC27"	"-"	"protein_coding"	7326	"same"	"74_ID"
"75"	"chr12"	120137572	120138816	"ENST00000535109.1_1"	"AC002563.1"	"+"	"lncRNA"	"chr12"	120123595	120315124	"ENST00000392521.7_5"	"CIT"	"-"	"protein_coding"	1244	"opposite"	"75_ID"
"76"	"chr12"	111511771	111511893	"ENST00000408332.1"	"AC002978.1"	"+"	"miRNA"	"chr12"	111471968	111788358	"ENST00000261726.11_2"	"CUX2"	"+"	"protein_coding"	122	"same"	"76_ID"
"77"	"chr12"	111740603	111740703	"ENST00000408459.1"	"AC002979.1"	"+"	"miRNA"	"chr12"	111471968	111788358	"ENST00000261726.11_2"	"CUX2"	"+"	"protein_coding"	100	"same"	"77_ID"
"78"	"chrX"	12166436	12166520	"ENST00000516302.1"	"AC002981.1"	"-"	"miRNA"	"chrX"	11840541	12740304	"ENST00000656302.1_3"	"FRMPD4"	"+"	"protein_coding"	84	"opposite"	"78_ID"
"79"	"chr16"	13425224	13426440	"ENST00000571611.1_3"	"AC003009.1"	"-"	"lncRNA"	"chr16"	13340088	13657245	"ENST00000655174.1_1"	"U91319.1"	"+"	"lncRNA"	1216	"opposite"	"79_ID"
"80"	"chr17"	43474297	43474843	"ENST00000592389.1_1"	"AC003070.1"	"+"	"lncRNA"	"chr17"	43471274	43509715	"ENST00000531735.5_3"	"ARHGAP27"	"-"	"retained_intron"	546	"opposite"	"80_ID"
"81"	"chr7"	111397242	111402272	"ENST00000666594.1_3"	"AC003077.1"	"+"	"lncRNA"	"chr7"	111366533	111846466	"ENST00000428084.1"	"DOCK4"	"-"	"protein_coding"	5166	"opposite"	"81_ID"
"82"	"chr17"	41860171	41862050	"ENST00000591540.1_3"	"AC003098.1"	"-"	"lncRNA"	"chr17"	41857802	41864988	"ENST00000449302.8_2"	"CFAP97D1"	"+"	"protein_coding"	1879	"opposite"	"82_ID"
"83"	"chrX"	28960166	28960685	"ENST00000424251.1_1"	"AC003659.1"	"+"	"lncRNA"	"chrX"	28605562	29974835	"ENST00000378993.6_2"	"IL1RAPL1"	"+"	"protein_coding"	519	"same"	"83_ID"
"84"	"chr22"	30374938	30424225	"ENST00000624945.1_1"	"AC003681.1"	"-"	"lncRNA"	"chr22"	30279157	30426855	"ENST00000333027.7_3"	"MTMR3"	"+"	"protein_coding"	84028	"opposite"	"84_ID"
"85"	"chrX"	9217959	9243246	"ENST00000432442.1_1"	"AC003684.1"	"+"	"lncRNA"	"chrX"	8993117	9263722	"ENST00000651278.1_3"	"FAM9B"	"-"	"protein_coding"	25287	"opposite"	"85_ID"
"86"	"chr17"	31379124	31379885	"ENST00000578040.1_3"	"AC003687.1"	"-"	"lncRNA"	"chr17"	31340104	32484313	"ENST00000359872.6_4"	"ASIC2"	"-"	"protein_coding"	761	"same"	"86_ID"
"87"	"chr17"	7186265	7187390	"ENST00000576271.1_3"	"AC003688.2"	"-"	"lncRNA"	"chr17"	7185036	7191576	"ENST00000317370.13_2"	"SLC2A4"	"+"	"protein_coding"	1125	"opposite"	"87_ID"
"88"	"chr7"	19152096	19153894	"ENST00000419944.1_1"	"AC003986.2"	"+"	"lncRNA"	"chr7"	19060613	19156547	"ENST00000443687.5_4"	"TWIST1"	"-"	"nonsense_mediated_decay"	1798	"opposite"	"88_ID"
"89"	"chr7"	114201015	114201572	"ENST00000635364.1_1"	"AC003992.1"	"+"	"lncRNA"	"chr7"	113726381	114330960	"ENST00000412402.5_1"	"FOXP2"	"+"	"nonsense_mediated_decay"	557	"same"	"89_ID"
"90"	"chrX"	118556879	118557510	"ENST00000414435.1_1"	"AC004000.1"	"+"	"lncRNA"	"chrX"	118533298	118588441	"ENST00000217909.8_2"	"SLC25A43"	"+"	"protein_coding"	1200	"same"	"90_ID"
"91"	"chr7"	24940430	24940524	"ENST00000459086.1"	"AC004016.1"	"+"	"miRNA"	"chr7"	24836158	25019797	"ENST00000313367.7_6"	"OSBPL3"	"-"	"protein_coding"	94	"opposite"	"91_ID"
"92"	"chr22"	18036249	18037847	"ENST00000608960.1"	"AC004019.18"	"+"	"lincRNA"	"chr22"	18000542	18050143	"ENST00000651475.1_3"	"AC007666.2"	"-"	"lncRNA"	1598	"opposite"	"92_ID"
"93"	"chr22"	18036249	18037847	"ENST00000608960.1"	"AC004019.18"	"+"	"lincRNA"	"chr22"	17956134	18037850	"ENST00000612582.1_2"	"CECR2"	"+"	"protein_coding"	1598	"same"	"93_ID"
"94"	"chr4"	92029173	92033941	"ENST00000515111.1_3"	"AC004054.1"	"-"	"lncRNA"	"chr4"	91048735	92523064	"ENST00000509176.5_1"	"CCSER1"	"+"	"protein_coding"	4768	"opposite"	"94_ID"
"95"	"chr4"	105478116	105490034	"ENST00000508358.1_1"	"AC004063.1"	"+"	"lncRNA"	"chr4"	105412121	105618749	"ENST00000500179.1_1"	"CXXC4-AS1"	"+"	"lncRNA"	11918	"same"	"95_ID"
"96"	"chr4"	110613159	110613859	"ENST00000608733.1_1"	"AC004067.1"	"+"	"lncRNA"	"chr4"	110609783	110624601	"ENST00000265164.7_4"	"CASP6"	"-"	"protein_coding"	700	"opposite"	"96_ID"
"97"	"chr19"	57961056	57964379	"ENST00000620532.1_1"	"AC004076.2"	"+"	"lncRNA"	"chr19"	57949337	57988871	"ENST00000596831.1_3"	"AC004076.1"	"-"	"protein_coding"	3323	"opposite"	"97_ID"
"98"	"chr7"	27186984	27192217	"ENST00000498652.1_3"	"AC004080.5"	"-"	"lncRNA"	"chr7"	27179982	27192316	"ENST00000521197.5_1"	"HOXA-AS3"	"+"	"lncRNA"	5233	"opposite"	"98_ID"
"99"	"chr7"	27168587	27192180	"ENST00000467897.2_3"	"AC004080.6"	"-"	"lncRNA"	"chr7"	27166546	27192200	"ENST00000518451.1_3"	"HOXA3"	"-"	"processed_transcript"	23593	"same"	"99_ID"
"100"	"chr17"	32407900	32409243	"ENST00000580658.1_3"	"AC004147.1"	"-"	"lncRNA"	"chr17"	32262455	32483019	"ENST00000636421.1_3"	"AC004147.4"	"-"	"lncRNA"	1343	"same"	"100_ID"
"101"	"chr17"	32407900	32409243	"ENST00000580658.1_3"	"AC004147.1"	"-"	"lncRNA"	"chr17"	31340104	32484313	"ENST00000359872.6_4"	"ASIC2"	"-"	"protein_coding"	1343	"same"	"101_ID"
"102"	"chr17"	32469965	32474066	"ENST00000577709.1_1"	"AC004147.3"	"+"	"lncRNA"	"chr17"	31340104	32484313	"ENST00000359872.6_4"	"ASIC2"	"-"	"protein_coding"	4101	"opposite"	"102_ID"
"103"	"chr17"	32469965	32474066	"ENST00000577709.1_1"	"AC004147.3"	"+"	"lncRNA"	"chr17"	32262455	32483019	"ENST00000636421.1_3"	"AC004147.4"	"-"	"lncRNA"	4101	"opposite"	"103_ID"
"104"	"chr17"	32262455	32483019	"ENST00000636421.1_3"	"AC004147.4"	"-"	"lncRNA"	"chr17"	31340104	32484313	"ENST00000359872.6_4"	"ASIC2"	"-"	"protein_coding"	220564	"same"	"104_ID"
"105"	"chr17"	32445365	32445901	"ENST00000581727.1_1"	"AC004147.5"	"-"	"lncRNA"	"chr17"	32262455	32483019	"ENST00000636421.1_3"	"AC004147.4"	"-"	"lncRNA"	536	"same"	"105_ID"
"106"	"chr17"	32445365	32445901	"ENST00000581727.1_1"	"AC004147.5"	"-"	"lncRNA"	"chr17"	31340104	32484313	"ENST00000359872.6_4"	"ASIC2"	"-"	"protein_coding"	536	"same"	"106_ID"
"107"	"chr16"	72463251	72567791	"ENST00000624327.1_1"	"AC004158.1"	"+"	"lncRNA"	"chr16"	72316106	72698846	"ENST00000624829.4_4"	"LINC01572"	"-"	"lncRNA"	107945	"opposite"	"107_ID"
"108"	"chr7"	11446581	11453705	"ENST00000425837.1_1"	"AC004160.2"	"+"	"lncRNA"	"chr7"	11292606	11559802	"ENST00000445839.5_1"	"AC004160.1"	"+"	"lncRNA"	7124	"same"	"108_ID"
"109"	"chr7"	11446581	11453705	"ENST00000425837.1_1"	"AC004160.2"	"+"	"lncRNA"	"chr7"	11409991	11871824	"ENST00000423059.9_7"	"THSD7A"	"-"	"protein_coding"	7124	"opposite"	"109_ID"
"110"	"chr12"	112694603	112696895	"ENST00000547401.1_1"	"AC004217.1"	"+"	"lncRNA"	"chr12"	112597993	112820243	"ENST00000377560.9_4"	"HECTD4"	"-"	"protein_coding"	2292	"opposite"	"110_ID"
"111"	"chr17"	33400849	33401393	"ENST00000590309.1_1"	"AC004223.2"	"-"	"lncRNA"	"chr17"	33333008	33416338	"ENST00000315249.11_3"	"RFFL"	"-"	"protein_coding"	544	"same"	"111_ID"
"112"	"chr17"	33400849	33401393	"ENST00000590309.1_1"	"AC004223.2"	"-"	"lncRNA"	"chr17"	33338367	33448512	"ENST00000593039.5_7"	"AC004223.3"	"-"	"protein_coding"	544	"same"	"112_ID"
"113"	"chr17"	33345678	33346010	"ENST00000612426.1_1"	"AC004223.4"	"+"	"lncRNA"	"chr17"	33338367	33448512	"ENST00000593039.5_7"	"AC004223.3"	"-"	"protein_coding"	332	"opposite"	"113_ID"
"114"	"chr17"	33345678	33346010	"ENST00000612426.1_1"	"AC004223.4"	"+"	"lncRNA"	"chr17"	33333008	33416338	"ENST00000315249.11_3"	"RFFL"	"-"	"protein_coding"	332	"opposite"	"114_ID"
"115"	"chr16"	3357572	3358393	"ENST00000574245.1_1"	"AC004232.1"	"-"	"lncRNA"	"chr16"	3355471	3368852	"ENST00000574298.6_2"	"ZNF75A"	"+"	"protein_coding"	821	"opposite"	"115_ID"
"116"	"chr16"	3054132	3054860	"ENST00000677743.1_1"	"AC004233.4"	"+"	"protein_coding"	"chr16"	3053431	3055102	"ENST00000570515.1_3"	"AC004233.1"	"-"	"lncRNA"	728	"opposite"	"116_ID"
"117"	"chr12"	48125690	48126134	"ENST00000614562.1_1"	"AC004241.2"	"+"	"lncRNA"	"chr12"	48099867	48136077	"ENST00000547799.5_1"	"AC004241.1"	"+"	"lncRNA"	444	"same"	"117_ID"
