"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"Transcript_length"
"chr8"	37522297	38661508	"ENSMUST00000135764.7"	"Sgcz"	"-"	"protein_coding"	1139211
"chr2"	161521989	162661147	"ENSMUST00000109443.7"	"Ptprt"	"-"	"protein_coding"	1139158
"chr8"	57774051	58912640	"ENSMUST00000204128.2"	"Galntl6"	"-"	"protein_coding"	1138589
"chr5"	48389501	49524907	"ENSMUST00000087395.10"	"Kcnip4"	"-"	"protein_coding"	1135406
"chr9"	27790946	28925410	"ENSMUST00000115243.8"	"Opcml"	"+"	"protein_coding"	1134464
"chr5"	131437332	132543344	"ENSMUST00000161226.8"	"Auts2"	"-"	"protein_coding"	1106012
"chrX"	167471308	168577231	"ENSMUST00000112147.8"	"Frmpd4"	"-"	"protein_coding"	1105923
"chr14"	38368951	39473088	"ENSMUST00000166968.8"	"Nrg3"	"-"	"protein_coding"	1104137
"chr6"	76881636	77979699	"ENSMUST00000160894.7"	"Ctnna2"	"-"	"protein_coding"	1098063
"chr18"	71253633	72351069	"ENSMUST00000114943.10"	"Dcc"	"-"	"protein_coding"	1097436
"chr10"	89873508	90970219	"ENSMUST00000183156.7"	"Anks1b"	"+"	"protein_coding"	1096711
"chr11"	80880168	81968457	"ENSMUST00000066197.6"	"Asic2"	"-"	"protein_coding"	1088289
"chr1"	68032185	69108059	"ENSMUST00000121473.7"	"Erbb4"	"-"	"protein_coding"	1075874
"chr8"	31817407	32884797	"ENSMUST00000238791.1"	"Nrg1"	"-"	"protein_coding"	1067390
"chr4"	103619664	104680382	"ENSMUST00000106827.7"	"Dab1"	"+"	"protein_coding"	1060718
"chr17"	90033643	91093071	"ENSMUST00000160844.9"	"Nrxn1"	"-"	"protein_coding"	1059428
"chr14"	116925429	117976544	"ENSMUST00000088483.9"	"Gpc6"	"+"	"protein_coding"	1051115
"chr8"	118283732	119324921	"ENSMUST00000117160.1"	"Cdh13"	"+"	"protein_coding"	1041189
"chr14"	22019711	23056085	"ENSMUST00000075639.10"	"Lrmda"	"+"	"protein_coding"	1036374
"chr4"	65380802	66404611	"ENSMUST00000068214.10"	"Astn2"	"-"	"protein_coding"	1023809
"chr6"	105677744	106699305	"ENSMUST00000113264.8"	"Cntn4"	"+"	"protein_coding"	1021561
"chr8"	107942643	108961630	"ENSMUST00000220518.1"	"Zfhx3"	"+"	"protein_coding"	1018987
"chr1"	61638823	62642284	"ENSMUST00000075374.9"	"Pard3b"	"+"	"protein_coding"	1003461
"chr3"	23798101	24783622	"ENSMUST00000203414.1"	"Naaladl2"	"-"	"protein_coding"	985521
"chr5"	141241489	142215586	"ENSMUST00000085774.10"	"Sdk1"	"+"	"protein_coding"	974097
"chr9"	28994749	29963129	"ENSMUST00000075069.10"	"Ntm"	"-"	"protein_coding"	968380
"chr16"	66655420	67620908	"ENSMUST00000114292.7"	"Cadm2"	"-"	"protein_coding"	965488
"chr16"	59653482	60605248	"ENSMUST00000068860.12"	"Epha6"	"-"	"protein_coding"	951766
"chr1"	129273343	130219278	"ENSMUST00000073527.12"	"Thsd7b"	"+"	"protein_coding"	945935
"chr4"	150917321	151861669	"ENSMUST00000169423.8"	"Camta1"	"-"	"protein_coding"	944348
"chr6"	143843738	144781977	"ENSMUST00000141102.7"	"Sox5"	"-"	"protein_coding"	938239
"chr1"	8361474	9299238	"ENSMUST00000140295.7"	"Sntg1"	"-"	"protein_coding"	937764
"chr12"	41024089	41955588	"ENSMUST00000132121.7"	"Immp2l"	"+"	"protein_coding"	931499
"chr6"	110645581	111567230	"ENSMUST00000172951.1"	"Grm7"	"+"	"protein_coding"	921649
"chr1"	125913636	126830632	"ENSMUST00000094609.9"	"Nckap5"	"-"	"protein_coding"	916996
"chr8"	114439654	115352708	"ENSMUST00000004756.13"	"Wwox"	"+"	"protein_coding"	913054
"chr5"	26817356	27726460	"ENSMUST00000071500.12"	"Dpp6"	"+"	"protein_coding"	909104
"chr3"	25426214	26332460	"ENSMUST00000193603.5"	"Nlgn1"	"-"	"protein_coding"	906246
"chr1"	115684755	116587323	"ENSMUST00000043725.8"	"Cntnap5a"	"+"	"protein_coding"	902568
"chr1"	69826987	70725132	"ENSMUST00000065425.11"	"Spag16"	"+"	"protein_coding"	898145
"chr7"	76229886	77124698	"ENSMUST00000156166.7"	"Agbl1"	"+"	"protein_coding"	894812
"chr7"	49974863	50866608	"ENSMUST00000081872.12"	"Nell1"	"+"	"protein_coding"	891745
"chr18"	36952740	37840200	"ENSMUST00000115661.4"	"Gm42416"	"+"	"protein_coding"	887460
"chr3"	118562128	119432924	"ENSMUST00000039177.11"	"Dpyd"	"+"	"protein_coding"	870796
"chr18"	36969915	37833296	"ENSMUST00000194544.1"	"Gm37013"	"+"	"protein_coding"	863381
"chr6"	27275118	28134545	"ENSMUST00000115323.7"	"Grm8"	"-"	"protein_coding"	859427
"chr18"	36975940	37833296	"ENSMUST00000193984.1"	"Gm37388"	"+"	"protein_coding"	857356
"chr15"	30172592	31029341	"ENSMUST00000081728.6"	"Ctnnd2"	"+"	"protein_coding"	856749
"chr19"	22139045	22995410	"ENSMUST00000237357.1"	"Trpm3"	"+"	"protein_coding"	856365
"chr2"	6539693	7396000	"ENSMUST00000002176.12"	"Celf2"	"-"	"protein_coding"	856307
"chr14"	27622427	28478535	"ENSMUST00000210135.1"	"Erc2"	"+"	"protein_coding"	856108
"chr8"	65618085	66471637	"ENSMUST00000110255.7"	"Marchf1"	"+"	"protein_coding"	853552
"chr17"	69969072	70821413	"ENSMUST00000133983.7"	"Dlgap1"	"+"	"protein_coding"	852341
"chr15"	22549021	23400567	"ENSMUST00000163361.7"	"Cdh18"	"+"	"protein_coding"	851546
"chr13"	16857471	17694739	"ENSMUST00000068545.5"	"Sugct"	"-"	"protein_coding"	837268
"chr2"	19909779	20744816	"ENSMUST00000114610.7"	"Etl4"	"+"	"protein_coding"	835037
"chr12"	53248676	54072175	"ENSMUST00000101432.2"	"Npas3"	"+"	"protein_coding"	823499
"chr12"	34095876	34917095	"ENSMUST00000211752.1"	"Hdac9"	"-"	"protein_coding"	821219
"chr14"	28904942	29721864	"ENSMUST00000022567.8"	"Cacna2d3"	"-"	"protein_coding"	816922
"chr6"	80018876	80810143	"ENSMUST00000147663.7"	"Lrrtm4"	"+"	"protein_coding"	791267
"chr12"	116485728	117276849	"ENSMUST00000190247.6"	"Ptprn2"	"+"	"protein_coding"	791121
"chr8"	81342561	82125036	"ENSMUST00000215332.1"	"Inpp4b"	"+"	"protein_coding"	782475
"chr5"	81020570	81796634	"ENSMUST00000132375.7"	"Adgrl3"	"+"	"protein_coding"	776064
"chr10"	109681258	110456204	"ENSMUST00000239301.1"	"Nav3"	"-"	"protein_coding"	774946
"chr14"	34820107	35583379	"ENSMUST00000043349.6"	"Grid1"	"+"	"protein_coding"	763272
"chr1"	25067549	25829707	"ENSMUST00000151309.7"	"Adgrb3"	"-"	"protein_coding"	762158
"chr12"	66466059	67222549	"ENSMUST00000037181.15"	"Mdga2"	"-"	"protein_coding"	756490
"chr3"	156561793	157316445	"ENSMUST00000074015.10"	"Negr1"	"+"	"protein_coding"	754652
"chr12"	37880704	38634239	"ENSMUST00000040500.8"	"Dgkb"	"+"	"protein_coding"	753535
"chr8"	14095874	14847680	"ENSMUST00000133298.7"	"Dlgap2"	"+"	"protein_coding"	751806
"chrX"	42532390	43274786	"ENSMUST00000016294.7"	"Tenm1"	"-"	"protein_coding"	742396
"chr7"	96171245	96908569	"ENSMUST00000107162.7"	"Tenm4"	"+"	"protein_coding"	737324
"chr16"	42907651	43642602	"ENSMUST00000114694.8"	"Zbtb20"	"+"	"protein_coding"	734951
"chr17"	71868971	72603827	"ENSMUST00000086639.5"	"Alk"	"-"	"protein_coding"	734856
"chr9"	68653785	69388246	"ENSMUST00000034766.13"	"Rora"	"+"	"protein_coding"	734461
"chr3"	67892231	68626466	"ENSMUST00000182006.3"	"Iqschfp"	"+"	"protein_coding"	734235
"chr14"	119138340	119869815	"ENSMUST00000065904.4"	"Hs6st3"	"+"	"protein_coding"	731475
"chr2"	15526478	16255555	"ENSMUST00000146205.2"	"Malrd1"	"+"	"protein_coding"	729077
"chr6"	33249084	33973979	"ENSMUST00000052266.14"	"Exoc4"	"+"	"protein_coding"	724895
"chrX"	155624774	156345887	"ENSMUST00000112542.1"	"Gm15155"	"+"	"protein_coding"	721113
"chrX"	129749741	130465831	"ENSMUST00000167619.8"	"Diaph2"	"+"	"protein_coding"	716090
"chr14"	23292290	24004859	"ENSMUST00000145596.2"	"Kcnma1"	"-"	"protein_coding"	712569
"chr1"	99772764	100484849	"ENSMUST00000086738.9"	"Cntnap5b"	"+"	"protein_coding"	712085
"chr3"	13471681	14181972	"ENSMUST00000193117.2"	"Ralyl"	"+"	"protein_coding"	710291
"chr10"	101681486	102391466	"ENSMUST00000179929.7"	"Mgat4c"	"+"	"protein_coding"	709980
"chr1"	188263033	188965041	"ENSMUST00000060479.13"	"Ush2a"	"+"	"protein_coding"	702008
"chr14"	123977906	124677127	"ENSMUST00000095529.9"	"Fgf14"	"-"	"protein_coding"	699221
"chr10"	49094832	49788766	"ENSMUST00000218823.1"	"Grik2"	"-"	"protein_coding"	693934
"chr2"	134786066	135475247	"ENSMUST00000131552.4"	"Plcb1"	"+"	"protein_coding"	689181
"chr14"	11553531	12242041	"ENSMUST00000022264.12"	"Ptprg"	"+"	"protein_coding"	688510
"chr17"	66666946	67354073	"ENSMUST00000037974.9"	"Ptprm"	"-"	"protein_coding"	687127
"chr11"	46896252	47578965	"ENSMUST00000109220.7"	"Sgcd"	"-"	"protein_coding"	682713
"chr2"	54436316	55118309	"ENSMUST00000112636.7"	"Galnt13"	"+"	"protein_coding"	681993
"chr7"	56716464	57387188	"ENSMUST00000068911.12"	"Gabrg3"	"-"	"protein_coding"	670724
"chr7"	94042751	94709171	"ENSMUST00000206579.1"	"Gm32647"	"+"	"lincRNA"	666420
"chr13"	29191745	29855647	"ENSMUST00000140278.7"	"Cdkal1"	"-"	"protein_coding"	663902
"chr15"	20449264	21111440	"ENSMUST00000226407.1"	"Cdh12"	"+"	"protein_coding"	662176
"chr4"	20118873	20778567	"ENSMUST00000119374.7"	"Nkain3"	"-"	"protein_coding"	659694
"chr5"	127781629	128433077	"ENSMUST00000044441.7"	"Tmem132d"	"-"	"protein_coding"	651448
"chr7"	48959096	49606821	"ENSMUST00000183659.7"	"Nav2"	"+"	"protein_coding"	647725
"chr13"	76384534	77031810	"ENSMUST00000125209.7"	"Mctp1"	"+"	"protein_coding"	647276
"chr2"	43748823	44395953	"ENSMUST00000112824.7"	"Arhgap15"	"+"	"protein_coding"	647130
"chr17"	57769569	58410355	"ENSMUST00000076038.6"	"Cntnap5c"	"+"	"protein_coding"	640786
"chr3"	76074269	76710019	"ENSMUST00000038364.14"	"Fstl5"	"+"	"protein_coding"	635750
"chr10"	26981284	27616843	"ENSMUST00000092639.11"	"Lama2"	"-"	"protein_coding"	635559
"chr10"	119453829	120087260	"ENSMUST00000147356.8"	"Grip1"	"+"	"protein_coding"	633431
"chr10"	69398995	70023957	"ENSMUST00000218680.1"	"Ank3"	"+"	"protein_coding"	624962
"chr6"	118587239	119196231	"ENSMUST00000186889.6"	"Cacna1c"	"-"	"protein_coding"	608992
"chr3"	29082732	29691209	"ENSMUST00000119598.7"	"Egfem1"	"+"	"protein_coding"	608477
"chr6"	93675454	94283917	"ENSMUST00000204347.2"	"Magi1"	"-"	"protein_coding"	608463
"chr13"	36117879	36724295	"ENSMUST00000224916.1"	"Fars2"	"+"	"protein_coding"	606416
"chr1"	187609028	188214386	"ENSMUST00000110939.7"	"Esrrg"	"+"	"protein_coding"	605358
"chrX"	39870499	40475561	"ENSMUST00000144412.1"	"Gm14643"	"+"	"processed_transcript"	605062
"chr13"	102732490	103334460	"ENSMUST00000167058.7"	"Mast4"	"-"	"protein_coding"	601970
"chr19"	42786538	43388355	"ENSMUST00000099428.4"	"Hpse2"	"-"	"protein_coding"	601817
"chr19"	48206024	48805505	"ENSMUST00000078880.5"	"Sorcs3"	"+"	"protein_coding"	599481
"chr16"	24393539	24992578	"ENSMUST00000038053.13"	"Lpp"	"+"	"protein_coding"	599039
"chr4"	85514171	86110862	"ENSMUST00000213098.1"	"Adamtsl1"	"+"	"protein_coding"	596691
"chr2"	4017743	4614041	"ENSMUST00000177457.7"	"Frmd4a"	"+"	"protein_coding"	596298
"chr11"	25617667	26210569	"ENSMUST00000125773.7"	"5730522E02Rik"	"-"	"protein_coding"	592902
"chr6"	98929188	99520997	"ENSMUST00000176565.7"	"Foxp1"	"-"	"protein_coding"	591809
"chr9"	15910188	16501285	"ENSMUST00000217308.2"	"Fat3"	"-"	"protein_coding"	591097
"chr16"	28162353	28753068	"ENSMUST00000232352.1"	"Fgf12"	"-"	"protein_coding"	590715
"chr9"	97444394	98033181	"ENSMUST00000035027.12"	"Clstn2"	"-"	"protein_coding"	588787
"chr11"	35121223	35708507	"ENSMUST00000069837.3"	"Slit3"	"+"	"protein_coding"	587284
"chr2"	112631354	113217087	"ENSMUST00000208151.1"	"Ryr3"	"-"	"protein_coding"	585733
"chr6"	56071700	56652487	"ENSMUST00000239143.1"	"Pde1c"	"-"	"protein_coding"	580787
"chr16"	96590839	97170752	"ENSMUST00000056102.8"	"Dscam"	"-"	"protein_coding"	579913
"chr4"	127988043	128567656	"ENSMUST00000184063.2"	"Csmd2"	"+"	"protein_coding"	579613
"chr2"	124089968	124667769	"ENSMUST00000103241.7"	"Sema6d"	"+"	"protein_coding"	577801
"chr5"	4803390	5380197	"ENSMUST00000030763.12"	"Cdk14"	"-"	"protein_coding"	576807
"chr6"	23262772	23839421	"ENSMUST00000163871.8"	"Cadps2"	"-"	"protein_coding"	576649
"chr5"	6769009	7344756	"ENSMUST00000200317.4"	"Zfp804b"	"-"	"protein_coding"	575747
"chr8"	28646716	29219636	"ENSMUST00000168630.3"	"Unc5d"	"-"	"protein_coding"	572920
"chr3"	34104457	34676030	"ENSMUST00000196243.4"	"Sox2ot"	"+"	"processed_transcript"	571573
"chr3"	29977343	30548008	"ENSMUST00000172754.7"	"Mecom"	"-"	"protein_coding"	570665
"chr7"	115471343	116038744	"ENSMUST00000166877.7"	"Sox6"	"-"	"protein_coding"	567401
"chr1"	178951959	179518034	"ENSMUST00000128302.7"	"Smyd3"	"-"	"protein_coding"	566075
"chr13"	8202912	8768747	"ENSMUST00000135574.7"	"Adarb2"	"+"	"protein_coding"	565835
"chr8"	9205901	9771161	"ENSMUST00000110969.4"	"Fam155a"	"-"	"protein_coding"	565260
"chr14"	77156762	77721407	"ENSMUST00000022589.8"	"Enox1"	"+"	"protein_coding"	564645
"chr1"	21398407	21961942	"ENSMUST00000115300.7"	"Kcnq5"	"-"	"protein_coding"	563535
"chr1"	11414104	11975901	"ENSMUST00000048613.13"	"A830018L16Rik"	"+"	"protein_coding"	561797
"chr3"	68064801	68626464	"ENSMUST00000029346.12"	"Schip1"	"+"	"protein_coding"	561663
"chr9"	94669908	95230445	"ENSMUST00000033463.9"	"Slc9a9"	"+"	"protein_coding"	560537
"chr1"	20057778	20618064	"ENSMUST00000088448.11"	"Pkhd1"	"-"	"protein_coding"	560286
"chr15"	35371159	35931229	"ENSMUST00000048646.8"	"Vps13b"	"+"	"protein_coding"	560070
"chr3"	55625194	56183701	"ENSMUST00000029374.7"	"Nbea"	"-"	"protein_coding"	558507
"chr3"	86224679	86782689	"ENSMUST00000107635.6"	"Lrba"	"+"	"protein_coding"	558010
"chr11"	34226814	34783892	"ENSMUST00000093193.11"	"Dock2"	"-"	"protein_coding"	557078
"chr13"	11553101	12106945	"ENSMUST00000021750.14"	"Ryr2"	"-"	"protein_coding"	553844
"chr3"	49892525	50443614	"ENSMUST00000194462.5"	"Slc7a11"	"-"	"protein_coding"	551089
"chr7"	87584392	88134907	"ENSMUST00000125009.8"	"Grm5"	"+"	"protein_coding"	550515
"chr9"	34486125	35035280	"ENSMUST00000115148.8"	"Kirrel3"	"+"	"protein_coding"	549155
"chr8"	127064055	127612286	"ENSMUST00000160272.7"	"Pard3"	"+"	"protein_coding"	548231
"chr12"	82617498	83162056	"ENSMUST00000186458.6"	"Rgs6"	"+"	"protein_coding"	544558
"chr9"	59966930	60511035	"ENSMUST00000098660.9"	"Thsd4"	"-"	"protein_coding"	544105
"chr6"	96113153	96657198	"ENSMUST00000122120.7"	"Tafa1"	"+"	"protein_coding"	544045
"chr15"	63176837	63718289	"ENSMUST00000228339.2"	"Gm41335"	"-"	"lincRNA"	541452
"chr6"	14901348	15441977	"ENSMUST00000115477.7"	"Foxp2"	"+"	"protein_coding"	540629
"chr3"	126959006	127499350	"ENSMUST00000182711.7"	"Ank2"	"-"	"protein_coding"	540344
"chr8"	72814598	73353540	"ENSMUST00000119826.6"	"Large1"	"-"	"protein_coding"	538942
"chrX"	113297509	113836386	"ENSMUST00000113380.7"	"Dach2"	"+"	"protein_coding"	538877
"chr13"	81095067	81633154	"ENSMUST00000095585.10"	"Adgrv1"	"-"	"protein_coding"	538087
"chr8"	75448693	75984478	"ENSMUST00000034033.14"	"Iqcm"	"+"	"protein_coding"	535785
"chr1"	160257204	160792946	"ENSMUST00000028049.12"	"Rabgap1l"	"-"	"protein_coding"	535742
"chr19"	50143298	50678646	"ENSMUST00000209413.1"	"Sorcs1"	"-"	"protein_coding"	535348
"chr15"	20449189	20979940	"ENSMUST00000228652.1"	"Gm49685"	"+"	"antisense"	530751
"chr10"	5020916	5550678	"ENSMUST00000215295.1"	"Syne1"	"-"	"protein_coding"	529762
"chr5"	22746058	23275597	"ENSMUST00000197992.1"	"Lhfpl3"	"+"	"protein_coding"	529539
"chr3"	73066350	73594830	"ENSMUST00000192642.1"	"Gm20754"	"+"	"lincRNA"	528480
"chr3"	153198265	153725174	"ENSMUST00000200397.4"	"St6galnac3"	"-"	"protein_coding"	526909
"chr16"	34049688	34573532	"ENSMUST00000114961.7"	"Kalrn"	"-"	"protein_coding"	523844
"chr10"	28074819	28597397	"ENSMUST00000166468.1"	"Ptprk"	"+"	"protein_coding"	522578
"chr19"	57611033	58133343	"ENSMUST00000077282.6"	"Atrnl1"	"+"	"protein_coding"	522310
"chr4"	113477890	113999503	"ENSMUST00000169631.7"	"Skint5"	"-"	"protein_coding"	521613
"chr1"	22286250	22805724	"ENSMUST00000081544.12"	"Rims1"	"-"	"protein_coding"	519474
"chr13"	31819578	32338740	"ENSMUST00000041859.8"	"Gmds"	"-"	"protein_coding"	519162
"chr16"	73891838	74410989	"ENSMUST00000117785.8"	"Robo2"	"-"	"protein_coding"	519151
"chr4"	102087542	102605833	"ENSMUST00000106911.7"	"Pde4b"	"+"	"protein_coding"	518291
"chr13"	20090618	20608353	"ENSMUST00000072519.6"	"Elmo1"	"+"	"protein_coding"	517735
"chr12"	79297281	79814690	"ENSMUST00000171210.2"	"Rad51b"	"+"	"protein_coding"	517409
"chr6"	21215502	21729805	"ENSMUST00000081542.5"	"Kcnd2"	"+"	"protein_coding"	514303
"chr10"	108497651	109010982	"ENSMUST00000064054.13"	"Syt1"	"-"	"protein_coding"	513331
"chr15"	33083128	33594552	"ENSMUST00000042167.9"	"Cpq"	"+"	"protein_coding"	511424
"chr5"	99217425	99728812	"ENSMUST00000209346.1"	"Rasgef1b"	"-"	"protein_coding"	511387
"chrX"	168795098	169304435	"ENSMUST00000033721.12"	"Arhgap6"	"+"	"protein_coding"	509337
"chr8"	67696889	68206057	"ENSMUST00000212960.1"	"Psd3"	"-"	"protein_coding"	509168
"chrX"	69360293	69868037	"ENSMUST00000033532.6"	"Aff2"	"+"	"protein_coding"	507744
"chrX"	59062144	59568071	"ENSMUST00000119833.7"	"Fgf13"	"-"	"protein_coding"	505927
"chr3"	139205892	139710299	"ENSMUST00000062306.6"	"Stpg2"	"+"	"protein_coding"	504407
"chr17"	68273796	68777961	"ENSMUST00000093007.5"	"L3mbtl4"	"+"	"protein_coding"	504165
"chr11"	93098403	93601745	"ENSMUST00000042943.12"	"Car10"	"+"	"protein_coding"	503342
"chr7"	134670686	135173639	"ENSMUST00000084488.4"	"Dock1"	"+"	"protein_coding"	502953
"chr13"	88821510	89323223	"ENSMUST00000081769.12"	"Edil3"	"+"	"protein_coding"	501713
"chr11"	9191941	9684259	"ENSMUST00000042740.12"	"Abca13"	"+"	"protein_coding"	492318
"chr2"	62693413	63184278	"ENSMUST00000075052.9"	"Kcnh7"	"-"	"protein_coding"	490865
"chr1"	161987301	162478034	"ENSMUST00000086074.11"	"Dnm3"	"-"	"protein_coding"	490733
"chr17"	86167784	86657919	"ENSMUST00000097275.8"	"Prkce"	"+"	"protein_coding"	490135
"chr9"	73479421	73968966	"ENSMUST00000184666.7"	"Unc13c"	"-"	"protein_coding"	489545
"chr2"	37798990	38287375	"ENSMUST00000102787.9"	"Dennd1a"	"-"	"protein_coding"	488385
"chr1"	38177326	38664955	"ENSMUST00000039827.13"	"Aff3"	"-"	"protein_coding"	487629
"chr13"	57421206	57908332	"ENSMUST00000189373.7"	"Spock1"	"-"	"protein_coding"	487126
"chr8"	23669657	24156585	"ENSMUST00000123412.1"	"Zmat4"	"+"	"protein_coding"	486928
"chr10"	12383379	12869365	"ENSMUST00000218635.1"	"Utrn"	"-"	"protein_coding"	485986
"chr14"	86655366	87141224	"ENSMUST00000022599.13"	"Diaph3"	"-"	"protein_coding"	485858
"chr1"	32172713	32658568	"ENSMUST00000027226.11"	"Khdrbs2"	"+"	"protein_coding"	485855
"chr13"	9875485	10360844	"ENSMUST00000187510.6"	"Chrm3"	"-"	"protein_coding"	485359
"chr12"	56712633	57197472	"ENSMUST00000044634.11"	"Slc25a21"	"-"	"protein_coding"	484839
"chr4"	18407348	18891842	"ENSMUST00000133363.1"	"Gm11867"	"+"	"processed_transcript"	484494
"chr15"	39198331	39681940	"ENSMUST00000082054.11"	"Rims2"	"+"	"protein_coding"	483609
"chr16"	72563699	73046095	"ENSMUST00000232205.1"	"Robo1"	"+"	"protein_coding"	482396
"chr4"	112804615	113286973	"ENSMUST00000138966.8"	"Skint6"	"-"	"protein_coding"	482358
"chr8"	10153967	10634742	"ENSMUST00000207477.1"	"Myo16"	"+"	"protein_coding"	480775
"chrX"	92118878	92599572	"ENSMUST00000113955.1"	"Mageb18"	"-"	"protein_coding"	480694
"chr3"	158082894	158562221	"ENSMUST00000200137.4"	"Lrrc7"	"-"	"protein_coding"	479327
"chr13"	77135539	77613784	"ENSMUST00000168779.2"	"2210408I21Rik"	"+"	"protein_coding"	478245
"chr10"	123264075	123741204	"ENSMUST00000050756.7"	"Tafa2"	"+"	"protein_coding"	477129
"chr18"	89292423	89769528	"ENSMUST00000097495.4"	"Dok6"	"-"	"protein_coding"	477105
"chr4"	142598440	143074839	"ENSMUST00000211105.1"	"6330411D24Rik"	"-"	"protein_coding"	476399
"chr5"	28458273	28933995	"ENSMUST00000180878.7"	"9530036O11Rik"	"+"	"antisense"	475722
"chr2"	145167753	145642166	"ENSMUST00000110007.7"	"Slc24a3"	"+"	"protein_coding"	474413
"chr11"	85353166	85826058	"ENSMUST00000108061.7"	"Bcas3"	"+"	"protein_coding"	472892
"chr5"	98329303	98802019	"ENSMUST00000080333.7"	"Cfap299"	"+"	"protein_coding"	472716
"chr14"	73979157	74451303	"ENSMUST00000226557.1"	"Gm49171"	"-"	"lincRNA"	472146
"chr15"	72589619	73061204	"ENSMUST00000089770.10"	"Trappc9"	"-"	"protein_coding"	471585
"chr5"	130369454	130840174	"ENSMUST00000086029.9"	"Caln1"	"+"	"protein_coding"	470720
"chr15"	94629249	95096098	"ENSMUST00000080141.5"	"Tmem117"	"+"	"protein_coding"	466849
"chr1"	154398392	154864067	"ENSMUST00000211821.1"	"Cacna1e"	"-"	"protein_coding"	465675
"chr10"	106470345	106935952	"ENSMUST00000217854.1"	"Ppfia2"	"+"	"protein_coding"	465607
"chr9"	104569482	105034544	"ENSMUST00000057742.14"	"Cpne4"	"+"	"protein_coding"	465062
"chr17"	30459501	30923831	"ENSMUST00000235858.1"	"Gm50252"	"-"	"processed_transcript"	464330
"chr4"	5644234	6108223	"ENSMUST00000126564.7"	"Fam110b"	"+"	"protein_coding"	463989
