"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"Transcript_length"
"chr10"	116853123	117708510	"ENST00000355044.8_2"	"ATRNL1"	"+"	"protein_coding"	855387
"chr1"	88151912	89006342	"ENST00000645056.1_3"	"PKN2-AS1"	"-"	"lncRNA"	854430
"chr10"	23983674	24836772	"ENST00000376462.5_3"	"KIAA1217"	"+"	"protein_coding"	853098
"chr1"	97543298	98386590	"ENST00000370192.8_3"	"DPYD"	"-"	"protein_coding"	843292
"chr18"	7566779	8406859	"ENST00000332175.12_2"	"PTPRM"	"+"	"protein_coding"	840080
"chr21"	41382925	42219084	"ENST00000400454.6_4"	"DSCAM"	"-"	"protein_coding"	836159
"chr14"	47309294	48144808	"ENST00000399232.8_8"	"MDGA2"	"-"	"protein_coding"	835514
"chr3"	114033346	114866135	"ENST00000675478.1_1"	"ZBTB20"	"-"	"protein_coding"	832789
"chr12"	129556270	130388570	"ENST00000422113.7_4"	"TMEM132D"	"-"	"protein_coding"	832300
"chr3"	158787052	159615147	"ENST00000485419.7_3"	"IQCJ-SCHIP1"	"+"	"protein_coding"	828095
"chr4"	142944312	143767443	"ENST00000513000.5_5"	"INPP4B"	"-"	"protein_coding"	823131
"chr10"	65632329	66452714	"ENST00000654191.1_1"	"AC013287.1"	"+"	"lncRNA"	820385
"chr7"	126078651	126892995	"ENST00000339582.7_4"	"GRM8"	"-"	"protein_coding"	814344
"chr7"	132937833	133750514	"ENST00000253861.5_2"	"EXOC4"	"+"	"protein_coding"	812681
"chrX"	141022281	141828367	"ENST00000664519.1_1"	"AL031073.2"	"+"	"lncRNA"	806086
"chr20"	8057897	8863846	"ENST00000637919.1_4"	"PLCB1"	"+"	"protein_coding"	805949
"chr1"	215796232	216596790	"ENST00000307340.8_5"	"USH2A"	"-"	"protein_coding"	800558
"chr1"	174128654	174927319	"ENST00000251507.8_1"	"RABGAP1L"	"+"	"protein_coding"	798665
"chr3"	71008376	71803380	"ENST00000647725.1_4"	"AC097634.4"	"-"	"protein_coding"	795004
"chr1"	237205483	237997288	"ENST00000366574.7_3"	"RYR2"	"+"	"protein_coding"	791805
"chr17"	51354120	52144186	"ENST00000650577.1_3"	"AC034268.2"	"-"	"lncRNA"	790066
"chr4"	98105243	98893505	"ENST00000522676.5_6"	"STPG2"	"-"	"protein_coding"	788262
"chr11"	78363873	79152074	"ENST00000278550.12_4"	"TENM4"	"-"	"protein_coding"	788201
"chr4"	162305048	163085152	"ENST00000306100.10_5"	"FSTL5"	"-"	"protein_coding"	780104
"chr10"	100216833	100995609	"ENST00000370552.8_5"	"HPSE2"	"-"	"protein_coding"	778776
"chr2"	76974844	77749465	"ENST00000409911.5_4"	"LRRTM4"	"-"	"protein_coding"	774621
"chr11"	19372270	20143144	"ENST00000360655.8_4"	"NAV2"	"+"	"protein_coding"	770874
"chr10"	78629359	79397577	"ENST00000638991.1_4"	"KCNMA1"	"-"	"protein_coding"	768218
"chr10"	87359308	88126552	"ENST00000327946.12_4"	"GRID1"	"-"	"protein_coding"	767244
"chr8"	63161412	63926559	"ENST00000674864.1_1"	"NKAIN3"	"+"	"protein_coding"	765147
"chr4"	145032191	145792105	"ENST00000650526.1_3"	"AC098588.3"	"-"	"lncRNA"	759914
"chr7"	14184673	14942986	"ENST00000403951.6_5"	"DGKB"	"-"	"protein_coding"	758313
"chr1"	245912648	246670581	"ENST00000490107.6_4"	"SMYD3"	"-"	"protein_coding"	757933
"chr6"	69345173	70099398	"ENST00000370598.6_2"	"ADGRB3"	"+"	"protein_coding"	754225
"chr8"	104512923	105266642	"ENST00000666250.1_1"	"RIMS2"	"+"	"protein_coding"	753719
"chr3"	180707557	181460672	"ENST00000660576.1_1"	"SOX2-OT"	"+"	"lncRNA"	753115
"chr3"	131252408	132004254	"ENST00000512055.5_5"	"CPNE4"	"-"	"protein_coding"	751846
"chr4"	151185586	151936879	"ENST00000357115.9_7"	"LRBA"	"-"	"protein_coding"	751293
"chr2"	21444046	22193831	"ENST00000435237.1_1"	"AC018742.1"	"+"	"lncRNA"	749785
"chr13"	96743092	97491816	"ENST00000376705.3_1"	"HS6ST3"	"+"	"protein_coding"	748724
"chr15"	60780482	61521501	"ENST00000335670.11_5"	"RORA"	"-"	"protein_coding"	741019
"chr8"	85095508	85834079	"ENST00000521268.6_4"	"RALYL"	"+"	"protein_coding"	738571
"chr3"	61547244	62283284	"ENST00000474889.6_3"	"PTPRG"	"+"	"protein_coding"	736040
"chr9"	22703514	23438698	"ENST00000640003.1_3"	"AL391117.1"	"-"	"lncRNA"	735184
"chr8"	127570137	128305107	"ENST00000645463.1_1"	"PCAT1"	"+"	"lncRNA"	734970
"chr13"	35516423	36246872	"ENST00000400445.7_2"	"NBEA"	"+"	"protein_coding"	730449
"chr2"	29415639	30144452	"ENST00000389048.8_6"	"ALK"	"-"	"protein_coding"	728813
"chr8"	140739967	141468678	"ENST00000648948.2_5"	"TRAPPC9"	"-"	"protein_coding"	728711
"chr7"	40174603	40900362	"ENST00000335693.9_2"	"SUGCT"	"+"	"protein_coding"	725759
"chr1"	193442353	194167838	"ENST00000656143.1_1"	"AL136456.1"	"+"	"lncRNA"	725485
"chr9"	27948075	28670283	"ENST00000379992.6_3"	"LINGO2"	"-"	"protein_coding"	722208
"chr7"	33197271	33916792	"ENST00000672453.1_1"	"BBS9"	"+"	"processed_transcript"	719521
"chr8"	105715946	106431488	"ENST00000518180.1_1"	"ZFPM2"	"+"	"processed_transcript"	715542
"chr3"	41288089	42003595	"ENST00000301831.9_4"	"ULK4"	"-"	"protein_coding"	715506
"chr17"	58755211	59470192	"ENST00000407086.8_4"	"BCAS3"	"+"	"protein_coding"	714981
"chr9"	108755590	109464943	"ENST00000637185.1_2"	"LINC01505"	"+"	"lncRNA"	709353
"chr3"	50712357	51421629	"ENST00000266037.10_2"	"DOCK3"	"+"	"protein_coding"	709272
"chrX"	7065277	7772399	"ENST00000664306.2_2"	"STS"	"+"	"nonsense_mediated_decay"	707122
"chr10"	34398487	35104253	"ENST00000545260.5_5"	"PARD3"	"-"	"protein_coding"	705766
"chr10"	61788158	62493248	"ENST00000373827.6_3"	"ANK3"	"-"	"protein_coding"	705090
"chr3"	59035889	59740534	"ENST00000668131.1_1"	"AC126121.3"	"+"	"lncRNA"	704645
"chr13"	107815857	108519844	"ENST00000375915.4_4"	"FAM155A"	"-"	"protein_coding"	703987
"chr22"	28374001	29075853	"ENST00000397906.6_6"	"TTC28"	"-"	"protein_coding"	701852
"chr6"	20534687	21232635	"ENST00000274695.8_3"	"CDKAL1"	"+"	"protein_coding"	697948
"chr14"	27068960	27764722	"ENST00000656336.1_1"	"AL110292.1"	"+"	"lncRNA"	695762
"chr21"	17300748	17994669	"ENST00000653129.1_1"	"MIR99AHG"	"+"	"lncRNA"	693921
"chr5"	124229052	124921977	"ENST00000647105.1_1"	"LINC02240"	"+"	"lncRNA"	692925
"chr3"	20227846	20920327	"ENST00000634618.1_1"	"SGO1-AS1"	"+"	"lncRNA"	692481
"chr13"	102363153	103054124	"ENST00000376131.8_4"	"FGF14"	"-"	"protein_coding"	690971
"chr2"	13850655	14541087	"ENST00000417751.5_3"	"LINC00276"	"-"	"lncRNA"	690432
"chr20"	59827316	60515673	"ENST00000614565.5_5"	"CDH4"	"+"	"protein_coding"	688357
"chr10"	13685705	14372923	"ENST00000357447.7_5"	"FRMD4A"	"-"	"protein_coding"	687218
"chr15"	71389290	72075722	"ENST00000355327.7_4"	"THSD4"	"+"	"protein_coding"	686432
"chr1"	81771850	82458106	"ENST00000370728.5_6"	"ADGRL2"	"+"	"protein_coding"	686256
"chr3"	3823035	4508945	"ENST00000448413.5_3"	"SUMF1"	"-"	"nonsense_mediated_decay"	685910
"chr10"	19337729	20023407	"ENST00000454679.7_3"	"MALRD1"	"+"	"protein_coding"	685678
"chr13"	29394484	30080084	"ENST00000612955.5_3"	"MTUS2"	"+"	"protein_coding"	685600
"chr3"	65339199	66023983	"ENST00000330909.12_3"	"MAGI1"	"-"	"protein_coding"	684784
"chrX"	85403454	86087605	"ENST00000373125.9_3"	"DACH2"	"+"	"protein_coding"	684151
"chr12"	77718420	78400811	"ENST00000550042.2_5"	"NAV3"	"+"	"protein_coding"	682391
"chr8"	64599736	65281115	"ENST00000523191.5_4"	"LINC01414"	"-"	"lncRNA"	681379
"chr3"	187930720	188608460	"ENST00000618621.4_3"	"LPP"	"+"	"protein_coding"	677740
"chr14"	66974124	67648515	"ENST00000315266.9_1"	"GPHN"	"+"	"protein_coding"	674391
"chr5"	95297704	95966789	"ENST00000502645.2_1"	"AC104123.1"	"+"	"lncRNA"	669085
"chr7"	71244475	71912046	"ENST00000395276.6_4"	"CALN1"	"-"	"protein_coding"	667571
"chr13"	78493823	79158297	"ENST00000607862.5_1"	"OBI1-AS1"	"+"	"lncRNA"	664474
"chr11"	89984371	90648216	"ENST00000649150.1_1"	"DISC1FP1"	"+"	"lncRNA"	663845
"chr6"	165740802	166401521	"ENST00000678161.1_1"	"PDE10A"	"-"	"nonsense_mediated_decay"	660719
"chr10"	128593977	129250781	"ENST00000280333.9_3"	"DOCK1"	"+"	"protein_coding"	656804
"chr4"	102341117	102995969	"ENST00000504592.5_3"	"BANK1"	"+"	"protein_coding"	654852
"chr13"	25946111	26599989	"ENST00000381655.7_2"	"ATP8A2"	"+"	"protein_coding"	653878
"chr11"	29357425	30010875	"ENST00000657392.1_3"	"LINC02755"	"-"	"lncRNA"	653450
"chr1"	33979598	34631443	"ENST00000373388.6_4"	"CSMD2"	"-"	"protein_coding"	651845
"chr15"	54270397	54920905	"ENST00000647821.1_1"	"UNC13C"	"+"	"protein_coding"	650508
"chr2"	72403112	73053162	"ENST00000272427.11_6"	"EXOC6B"	"-"	"protein_coding"	650050
"chr22"	33669062	34318829	"ENST00000413114.6_3"	"LARGE1"	"-"	"protein_coding"	649767
"chr12"	2162152	2807116	"ENST00000327702.12_4"	"CACNA1C"	"+"	"protein_coding"	644964
"chr3"	139654026	140296239	"ENST00000458420.7_2"	"CLSTN2"	"+"	"protein_coding"	642213
"chr5"	168088744	168728143	"ENST00000519560.6_5"	"SLIT3"	"-"	"protein_coding"	639399
"chr2"	143886987	144525921	"ENST00000295095.11_2"	"ARHGAP15"	"+"	"protein_coding"	638934
"chr2"	77879150	78517595	"ENST00000667782.1_3"	"AC012494.1"	"-"	"lncRNA"	638445
"chr2"	236402686	237040437	"ENST00000304032.13_3"	"AGAP1"	"+"	"protein_coding"	637751
"chr2"	65663844	66299755	"ENST00000606978.5_1"	"AC007389.1"	"+"	"lncRNA"	635911
"chr1"	82678096	83313888	"ENST00000650063.1_3"	"AL157944.1"	"-"	"lncRNA"	635792
"chr2"	58655472	59290901	"ENST00000452840.5_1"	"LINC01122"	"+"	"lncRNA"	635429
"chr1"	216676592	217311097	"ENST00000366940.6_5"	"ESRRG"	"-"	"protein_coding"	634505
"chr14"	72399145	73033238	"ENST00000553525.6_3"	"RGS6"	"+"	"protein_coding"	634093
"chr6"	129204282	129837711	"ENST00000421865.3_3"	"LAMA2"	"+"	"protein_coding"	633429
"chr3"	71003865	71633140	"ENST00000615603.4_5"	"FOXP1"	"-"	"protein_coding"	629275
"chr4"	81256883	81884904	"ENST00000358105.8_2"	"CFAP299"	"+"	"protein_coding"	628021
"chr9"	17906560	18533290	"ENST00000636209.1_2"	"ADAMTSL1"	"+"	"protein_coding"	626730
"chr3"	123813557	124440035	"ENST00000360013.7_3"	"KALRN"	"+"	"protein_coding"	626478
"chr10"	106401047	107025000	"ENST00000369701.8_2"	"SORCS3"	"+"	"protein_coding"	623953
"chr3"	191861766	192485553	"ENST00000450716.5_5"	"FGF12"	"-"	"protein_coding"	623787
"chr6"	1624040	2245839	"ENST00000380815.5_6"	"GMDS"	"-"	"protein_coding"	621799
"chr6"	74779166	75400443	"ENST00000435946.1_1"	"AL357507.1"	"+"	"lncRNA"	621277
"chr11"	70315539	70935808	"ENST00000601538.5_3"	"SHANK2"	"-"	"protein_coding"	620269
"chrX"	33744462	34364644	"ENST00000668394.1_1"	"AL591501.1"	"+"	"lncRNA"	620182
"chr11"	81811234	82429124	"ENST00000532217.1_4"	"MIR4300HG"	"-"	"lncRNA"	617890
"chr4"	82348218	82965222	"ENST00000638048.1_4"	"RASGEF1B"	"-"	"protein_coding"	617004
"chr1"	187039831	187655262	"ENST00000643891.1_1"	"LINC01036"	"+"	"lncRNA"	615431
"chr7"	90225634	90839905	"ENST00000380050.8_3"	"CDK14"	"+"	"protein_coding"	614271
"chr13"	109248499	109860345	"ENST00000356711.7_3"	"MYO16"	"+"	"protein_coding"	611846
"chr8"	24158397	24769586	"ENST00000519689.1_3"	"AC120193.1"	"-"	"lncRNA"	611189
"chr14"	46360289	46971106	"ENST00000666179.1_1"	"LINC00871"	"+"	"lncRNA"	610817
"chr3"	106349315	106959510	"ENST00000660862.1_3"	"LINC00882"	"-"	"lncRNA"	610195
"chr2"	49036478	49646151	"ENST00000634588.1_1"	"AC009975.1"	"+"	"lncRNA"	609673
"chr6"	62389865	62996130	"ENST00000281156.5_4"	"KHDRBS2"	"-"	"protein_coding"	606265
"chr5"	89854613	90460254	"ENST00000405460.9_4"	"ADGRV1"	"+"	"protein_coding"	605641
"chr7"	113726381	114330960	"ENST00000412402.5_1"	"FOXP2"	"+"	"nonsense_mediated_decay"	604579
"chr5"	152000064	152603103	"ENST00000503048.1_3"	"LINC01470"	"-"	"lncRNA"	603039
"chr2"	164606082	165208733	"ENST00000429636.1_3"	"AC016766.1"	"-"	"lncRNA"	602651
"chr6"	8158394	8760680	"ENST00000644718.1_1"	"AL355499.2"	"+"	"lncRNA"	602286
"chr2"	22156207	22753977	"ENST00000450551.1_3"	"AC096570.1"	"-"	"lncRNA"	597770
"chr16"	12070590	12668144	"ENST00000566228.6_2"	"SNX29"	"+"	"protein_coding"	597554
"chr2"	100163717	100759037	"ENST00000317233.8_3"	"AFF3"	"-"	"protein_coding"	595320
"chr7"	36893965	37488852	"ENST00000310758.8_3"	"ELMO1"	"-"	"protein_coding"	594887
"chr18"	36786880	37380285	"ENST00000670992.1_3"	"MIR924HG"	"-"	"lncRNA"	593405
"chr1"	61331003	61923683	"ENST00000664495.1_1"	"NFIA"	"+"	"nonsense_mediated_decay"	592680
"chr13"	53781965	54374560	"ENST00000657016.1_1"	"AL356295.1"	"+"	"lncRNA"	592595
"chr10"	108333420	108924292	"ENST00000263054.10_3"	"SORCS1"	"-"	"protein_coding"	590872
"chr2"	33931952	34522820	"ENST00000366209.6_5"	"LINC01320"	"+"	"lncRNA"	590868
"chr15"	47476297	48066418	"ENST00000558014.5_3"	"SEMA6D"	"+"	"protein_coding"	590121
"chr6"	163148163	163736524	"ENST00000366889.6_1"	"PACRG"	"+"	"protein_coding"	588361
"chrX"	123509752	124097666	"ENST00000371130.7_6"	"TENM1"	"-"	"protein_coding"	587914
"chr12"	79258553	79845788	"ENST00000261205.9_2"	"SYT1"	"+"	"protein_coding"	587235
"chr11"	24518598	25104184	"ENST00000336930.11_5"	"LUZP2"	"+"	"protein_coding"	585586
"chr3"	142984063	143567310	"ENST00000316549.11_4"	"SLC9A9"	"-"	"protein_coding"	583247
"chr12"	74214094	74796315	"ENST00000663261.1_3"	"LINC02882"	"-"	"lncRNA"	582221
"chr2"	154728434	155310491	"ENST00000392825.8_2"	"GALNT13"	"+"	"protein_coding"	582057
"chr1"	66258196	66839961	"ENST00000329654.8_3"	"PDE4B"	"+"	"protein_coding"	581765
"chr1"	240938814	241520530	"ENST00000366565.5_4"	"RGS7"	"-"	"protein_coding"	581716
