"ENST_Nested"	"ENST_Host"	"geneChr_Nested"	"geneStart_Nested"	"geneEnd_Nested"	"SYMBOL_Nested"	"Strand_Nested"	"biotype_Nested"	"geneChr_Host"	"geneStart_Host"	"geneEnd_Host"	"SYMBOL_Host"	"Strand_Host"	"biotype_Host"	"Overlap_size"	"Strandness"	"pairid"	"Host_mouse_ortholog"	"Nested_mouse_ortholog"
"24"	"ENST00000218758.9"	"ENST00000585493.5"	"chr19"	11685474	11689800	"ACP5"	"-"	"protein_coding"	"chr19"	11670262	11725658	"ZNF627"	"+"	"protein_coding"	4349	"opposite"	"4333_ID"	"Gm20422"	"Acp5"
"25"	"ENST00000218758.9"	"ENST00000585493.5"	"chr19"	11685474	11689800	"ACP5"	"-"	"protein_coding"	"chr19"	11670262	11725658	"ZNF627"	"+"	"protein_coding"	4349	"opposite"	"4333_ID"	"Zfp872"	"Acp5"
"26"	"ENST00000219919.9"	"ENST00000558239.5"	"chr15"	58430579	58478110	"AQP9"	"+"	"protein_coding"	"chr15"	58306055	58766112	"ALDH1A2"	"-"	"protein_coding"	47743	"opposite"	"6326_ID"	"Aldh1a2"	"Aqp9"
"27"	"ENST00000220514.8"	"ENST00000668616.1"	"chr15"	41601470	41624789	"OIP5"	"-"	"protein_coding"	"chr15"	41576204	41672988	"AC087721.2"	"+"	"processed_transcript"	23319	"opposite"	"9331_ID"	"Nusap1"	"Oip5"
"28"	"ENST00000221233.9"	"ENST00000604424.1"	"chr19"	41892278	41903264	"EXOSC5"	"-"	"protein_coding"	"chr19"	41856757	41916758	"AC011462.1"	"+"	"processed_transcript"	10986	"opposite"	"6947_ID"	"Bckdha"	"Exosc5"
"29"	"ENST00000221462.9"	"ENST00000587566.5"	"chr19"	45596436	45650543	"PPP1R37"	"+"	"protein_coding"	"chr19"	45582545	45769504	"MARK4"	"+"	"protein_coding"	56682	"same"	"9616_ID"	"Mark4"	"Ppp1r37"
"30"	"ENST00000221486.6"	"ENST00000589765.1"	"chr19"	12917397	12924454	"RNASEH2A"	"+"	"protein_coding"	"chr19"	12884972	12983554	"HOOK2"	"-"	"processed_transcript"	7057	"opposite"	"10535_ID"	"Hook2"	"Rnaseh2a"
"31"	"ENST00000221671.8"	"ENST00000409035.1"	"chr19"	16607204	16632163	"C19orf44"	"+"	"protein_coding"	"chr19"	16589877	16739015	"AC008764.1"	"-"	"nonsense_mediated_decay"	24959	"opposite"	"6491_ID"	"Med26"	"1700030K09Rik"
"32"	"ENST00000222254.13"	"ENST00000593731.1"	"chr19"	18263972	18281342	"PIK3R2"	"+"	"protein_coding"	"chr19"	18263967	18288927	"AC007192.1"	"+"	"nonsense_mediated_decay"	17370	"same"	"9560_ID"	"Pik3r2"	"Pik3r2"
"33"	"ENST00000222329.9"	"ENST00000594664.1"	"chr19"	42751720	42759280	"ERF"	"-"	"protein_coding"	"chr19"	42738734	42759284	"AC006486.1"	"-"	"protein_coding"	7560	"same"	"6920_ID"	"Gsk3a"	"Erf"
"34"	"ENST00000222543.11"	"ENST00000455502.5"	"chr7"	93514707	93520065	"TFPI2"	"-"	"protein_coding"	"chr7"	93220884	93540387	"GNGT1"	"+"	"protein_coding"	5358	"opposite"	"12666_ID"	"Gngt1"	"Tfpi2"
"48"	"ENST00000228936.6"	"ENST00000527783.1"	"chr12"	14978502	14996460	"ART4"	"-"	"protein_coding"	"chr12"	14956610	15059520	"C12orf60"	"+"	"processed_transcript"	17958	"opposite"	"6349_ID"	"BC049715"	"Art4"
"58"	"ENST00000229595.6"	"ENST00000316316.10"	"chr6"	119215315	119230336	"ASF1A"	"+"	"protein_coding"	"chr6"	119134604	119256327	"MCM9"	"-"	"protein_coding"	15021	"opposite"	"6355_ID"	"Mcm9"	"Asf1a"
"66"	"ENST00000233826.4"	"ENST00000373563.9"	"chr2"	233630511	233641275	"KCNJ13"	"-"	"protein_coding"	"chr2"	233562040	233725315	"GIGYF2"	"+"	"protein_coding"	10764	"opposite"	"7419_ID"	"Gigyf2"	"Kcnj13"
"71"	"ENST00000237275.9"	"ENST00000454207.2"	"chr6"	144185610	144259480	"ZC2HC1B"	"+"	"protein_coding"	"chr6"	144178454	144259608	"AL049844.3"	"+"	"nonsense_mediated_decay"	73908	"same"	"13004_ID"	"Ltv1"	"Zc2hc1b"
"72"	"ENST00000237455.5"	"ENST00000604011.5"	"chr2"	86830520	86850988	"RNF103"	"-"	"protein_coding"	"chr2"	86732790	86948245	"RNF103-CHMP3"	"-"	"protein_coding"	20469	"same"	"10538_ID"	"Chmp3"	"Rnf103"
"74"	"ENST00000237837.2"	"ENST00000648100.1"	"chr12"	4477392	4488878	"FGF23"	"-"	"protein_coding"	"chr12"	4382927	4514656	"AC008012.1"	"+"	"nonsense_mediated_decay"	11486	"opposite"	"7024_ID"	"Ccnd2"	"Fgf23"
"75"	"ENST00000239144.5"	"ENST00000567101.2"	"chr17"	46689707	46692654	"HOXB8"	"-"	"protein_coding"	"chr17"	46684988	46710934	"HOXB7"	"-"	"processed_transcript"	3916	"same"	"7268_ID"	"Hoxb7"	"Hoxb8"
"79"	"ENST00000239367.7"	"ENST00000647612.1"	"chr6"	150139892	150185495	"LRP11"	"-"	"protein_coding"	"chr6"	150139072	150217147	"AL355312.5"	"-"	"nonsense_mediated_decay"	45603	"same"	"7854_ID"	"Raet1e"	"Lrp11"
"80"	"ENST00000239367.7"	"ENST00000647612.1"	"chr6"	150139892	150185495	"LRP11"	"-"	"protein_coding"	"chr6"	150139072	150217147	"AL355312.5"	"-"	"nonsense_mediated_decay"	45603	"same"	"7854_ID"	"Raet1d"	"Lrp11"
"81"	"ENST00000239451.7"	"ENST00000624699.1"	"chr5"	140682201	140683616	"SLC25A2"	"-"	"protein_coding"	"chr5"	140639792	140700212	"TAF7"	"-"	"processed_transcript"	1415	"same"	"12082_ID"	"Taf7"	"Slc25a2"
"89"	"ENST00000241356.5"	"ENST00000369717.8"	"chr1"	112042050	112046255	"ADORA3"	"-"	"protein_coding"	"chr1"	112025969	112106584	"TMIGD3"	"-"	"protein_coding"	4205	"same"	"4362_ID"	"Tmigd3"	"Adora3"
"90"	"ENST00000241808.9"	"ENST00000649869.1"	"chr16"	11369495	11370337	"PRM2"	"-"	"protein_coding"	"chr16"	11343483	11475519	"RMI2"	"+"	"processed_transcript"	842	"opposite"	"9643_ID"	"Rmi2"	"Prm2"
"91"	"ENST00000242257.14"	"ENST00000651235.1"	"chr7"	2273829	2281840	"MRM2"	"-"	"protein_coding"	"chr7"	1855439	2281850	"AC069288.1"	"-"	"nonsense_mediated_decay"	8011	"same"	"9159_ID"	"Mrm2"	"Mrm2"
"92"	"ENST00000242323.8"	"ENST00000540557.1"	"chr9"	37800550	37867663	"DCAF10"	"+"	"protein_coding"	"chr9"	37588409	38068684	"AL138752.2"	"-"	"nonsense_mediated_decay"	67113	"opposite"	"6769_ID"	"Shb"	"Dcaf10"
"93"	"ENST00000243045.10"	"ENST00000546837.5"	"chr12"	56211824	56215663	"ORMDL2"	"+"	"protein_coding"	"chr12"	56151058	56221330	"AC023055.1"	"-"	"protein_coding"	3839	"opposite"	"9477_ID"	"Dnajc14"	"Ormdl2"
"95"	"ENST00000243578.8"	"ENST00000604424.1"	"chr19"	41860321	41870054	"B9D2"	"-"	"protein_coding"	"chr19"	41856757	41916758	"AC011462.1"	"+"	"processed_transcript"	9749	"opposite"	"6392_ID"	"Bckdha"	"B9d2"
"96"	"ENST00000243578.8"	"ENST00000539627.5"	"chr19"	41860321	41870054	"B9D2"	"-"	"protein_coding"	"chr19"	41856815	41889988	"TMEM91"	"+"	"protein_coding"	9749	"opposite"	"6391_ID"	"Tmem91"	"B9d2"
"103"	"ENST00000245414.9"	"ENST00000638452.2"	"chr5"	131817300	131826465	"IRF1"	"-"	"protein_coding"	"chr5"	131746523	131981771	"AC116366.2"	"+"	"protein_coding"	9169	"opposite"	"7367_ID"	"Rad50"	"Irf1"
"107"	"ENST00000246186.8"	"ENST00000635104.1"	"chr20"	33814492	33864801	"MMP24"	"+"	"protein_coding"	"chr20"	33789547	33865904	"MMP24OS"	"-"	"processed_transcript"	50309	"opposite"	"9150_ID"	"BC029722"	"Mmp24"
"108"	"ENST00000246841.3"	"ENST00000255681.7"	"chr11"	63870659	63886645	"FLRT1"	"+"	"protein_coding"	"chr11"	63766029	63933585	"MACROD1"	"-"	"protein_coding"	15986	"opposite"	"7044_ID"	"Macrod1"	"Flrt1"
"110"	"ENST00000247879.2"	"ENST00000465582.5"	"chr7"	141463896	141464997	"TAS2R3"	"+"	"protein_coding"	"chr7"	141438199	141487722	"SSBP1"	"+"	"protein_coding"	1101	"same"	"12608_ID"	"Ssbp1"	"Tas2r137"
"111"	"ENST00000247881.4"	"ENST00000465582.5"	"chr7"	141476473	141481491	"TAS2R4"	"+"	"protein_coding"	"chr7"	141438199	141487722	"SSBP1"	"+"	"protein_coding"	5018	"same"	"12616_ID"	"Ssbp1"	"Tas2r108"
"112"	"ENST00000248378.6"	"ENST00000550383.1"	"chr17"	3572105	3572959	"EMC6"	"+"	"protein_coding"	"chr17"	3566356	3599488	"P2RX5-TAX1BP3"	"-"	"nonsense_mediated_decay"	857	"opposite"	"6903_ID"	"P2rx5"	"Emc6"
"113"	"ENST00000248598.6"	"ENST00000285871.5"	"chr7"	76822685	76829136	"FGL2"	"-"	"protein_coding"	"chr7"	76751931	76924521	"CCDC146"	"+"	"protein_coding"	6480	"opposite"	"7026_ID"	"Ccdc146"	"Fgl2"
"114"	"ENST00000249289.5"	"ENST00000679229.1"	"chr7"	128502909	128505901	"ATP6V1F"	"+"	"protein_coding"	"chr7"	128502095	128521032	"KCP"	"-"	"retained_intron"	2992	"opposite"	"6382_ID"	"Kcp"	"Atp6v1f"
"115"	"ENST00000249363.4"	"ENST00000354725.8"	"chr7"	127667123	127671490	"LRRC4"	"-"	"protein_coding"	"chr7"	127292247	127732645	"SND1"	"+"	"protein_coding"	5037	"opposite"	"7861_ID"	"Snd1"	"Lrrc4"
"119"	"ENST00000250055.3"	"ENST00000423172.6"	"chr17"	7491495	7493412	"SOX15"	"-"	"protein_coding"	"chr17"	7487170	7496107	"MPDU1"	"+"	"protein_coding"	1917	"opposite"	"12493_ID"	"Mpdu1"	"Sox15"
"124"	"ENST00000252939.9"	"ENST00000368554.8"	"chr10"	135137575	135150400	"CALY"	"-"	"protein_coding"	"chr10"	135122913	135166033	"ZNF511-PRAP1"	"+"	"protein_coding"	12864	"opposite"	"6544_ID"	"Prap1"	"Caly"
"125"	"ENST00000253107.12"	"ENST00000428358.5"	"chr19"	10217037	10222688	"PPAN"	"+"	"protein_coding"	"chr19"	10216898	10225456	"PPAN-P2RY11"	"+"	"protein_coding"	5651	"same"	"9608_ID"	"Ppan"	"Ppan"
"126"	"ENST00000253407.4"	"ENST00000678938.1"	"chr17"	43037060	43045671	"C1QL1"	"-"	"protein_coding"	"chr17"	43035359	43186357	"NMT1"	"+"	"protein_coding"	8611	"opposite"	"6497_ID"	"Nmt1"	"C1ql1"
"127"	"ENST00000253719.7"	"ENST00000593532.5"	"chr19"	50861733	50868896	"NAPSA"	"-"	"protein_coding"	"chr19"	50832948	50886236	"NR1H2"	"+"	"nonsense_mediated_decay"	7354	"opposite"	"9226_ID"	"Nr1h2"	"Napsa"
"128"	"ENST00000253754.8"	"ENST00000431054.5"	"chr5"	131593388	131609147	"PDLIM4"	"+"	"protein_coding"	"chr5"	131546073	131630964	"P4HA2"	"-"	"protein_coding"	15759	"opposite"	"9530_ID"	"P4ha2"	"Pdlim4"
"131"	"ENST00000253934.9"	"ENST00000426508.7"	"chr16"	1578688	1605581	"TMEM204"	"+"	"protein_coding"	"chr16"	1560427	1662073	"IFT140"	"-"	"protein_coding"	26893	"opposite"	"12720_ID"	"Ift140"	"Tmem204"
"133"	"ENST00000254227.4"	"ENST00000435827.6"	"chr1"	27237979	27240466	"NR0B2"	"-"	"protein_coding"	"chr1"	27226728	27269267	"NUDC"	"+"	"protein_coding"	2487	"opposite"	"9299_ID"	"Nudc"	"Nr0b2"
"134"	"ENST00000254286.9"	"ENST00000554218.1"	"chr14"	58666866	58702354	"ACTR10"	"+"	"protein_coding"	"chr14"	58605818	58764857	"ARMH4"	"-"	"processed_transcript"	35557	"opposite"	"4343_ID"	"Armh4"	"Actr10"
"135"	"ENST00000254616.11"	"ENST00000639224.1"	"chr11"	6502730	6505911	"TIMM10B"	"+"	"protein_coding"	"chr11"	6502714	6530208	"AC084337.2"	"+"	"nonsense_mediated_decay"	3181	"same"	"12696_ID"	"Gm45799"	"Gm45799"
"139"	"ENST00000255192.8"	"ENST00000520388.5"	"chr5"	78365589	78385892	"BHMT2"	"+"	"protein_coding"	"chr5"	78351676	78531861	"DMGDH"	"-"	"processed_transcript"	20303	"opposite"	"6414_ID"	"Dmgdh"	"Bhmt2"
"140"	"ENST00000255198.3"	"ENST00000646704.1"	"chr5"	76367896	76383110	"ZBED3"	"-"	"protein_coding"	"chr5"	76326726	76447980	"AC008581.2"	"+"	"nonsense_mediated_decay"	15214	"opposite"	"12994_ID"	"Aggf1"	"Zbed3"
"145"	"ENST00000256319.7"	"ENST00000555385.1"	"chr14"	76116133	76127219	"ERG28"	"-"	"protein_coding"	"chr14"	76045926	76129557	"FLVCR2"	"+"	"processed_transcript"	11086	"opposite"	"6922_ID"	"Flvcr2"	"Erg28"
"148"	"ENST00000256460.8"	"ENST00000426518.5"	"chr3"	9799030	9811631	"CAMK1"	"-"	"protein_coding"	"chr3"	9792762	9829903	"OGG1"	"+"	"protein_coding"	12646	"opposite"	"6545_ID"	"Ogg1"	"Camk1"
"150"	"ENST00000257336.6"	"ENST00000639435.1"	"chr13"	103451468	103493883	"BIVM"	"+"	"protein_coding"	"chr13"	103451459	103528344	"BIVM-ERCC5"	"+"	"protein_coding"	42415	"same"	"6419_ID"	"Ercc5"	"Bivm"
"151"	"ENST00000257336.6"	"ENST00000639435.1"	"chr13"	103451468	103493883	"BIVM"	"+"	"protein_coding"	"chr13"	103451459	103528344	"BIVM-ERCC5"	"+"	"protein_coding"	42415	"same"	"6419_ID"	"Ercc5"	"Ercc5"
"152"	"ENST00000257336.6"	"ENST00000639435.1"	"chr13"	103451468	103493883	"BIVM"	"+"	"protein_coding"	"chr13"	103451459	103528344	"BIVM-ERCC5"	"+"	"protein_coding"	42415	"same"	"6419_ID"	"Bivm"	"Bivm"
"153"	"ENST00000257336.6"	"ENST00000639435.1"	"chr13"	103451468	103493883	"BIVM"	"+"	"protein_coding"	"chr13"	103451459	103528344	"BIVM-ERCC5"	"+"	"protein_coding"	42415	"same"	"6419_ID"	"Bivm"	"Ercc5"
"156"	"ENST00000257940.7"	"ENST00000551790.5"	"chr12"	56512049	56521298	"ZC3H10"	"+"	"protein_coding"	"chr12"	56512033	56524883	"ESYT1"	"+"	"protein_coding"	9255	"same"	"13005_ID"	"Esyt1"	"Zc3h10"
"157"	"ENST00000258400.4"	"ENST00000678241.1"	"chr2"	231972943	231989756	"HTR2B"	"-"	"protein_coding"	"chr2"	231921562	232037830	"PSMD1"	"+"	"nonsense_mediated_decay"	16813	"opposite"	"7315_ID"	"Psmd1"	"Htr2b"
"158"	"ENST00000258412.8"	"ENST00000273077.9"	"chr2"	219138919	219157226	"TMBIM1"	"-"	"protein_coding"	"chr2"	219135241	219211516	"PNKD"	"+"	"protein_coding"	18390	"opposite"	"12705_ID"	"Pnkd"	"Tmbim1"
"160"	"ENST00000258969.4"	"ENST00000300441.9"	"chr17"	48541859	48546267	"CHAD"	"-"	"protein_coding"	"chr17"	48503578	48552198	"ACSF2"	"+"	"protein_coding"	4411	"opposite"	"6635_ID"	"Acsf2"	"Chad"
"161"	"ENST00000259006.8"	"ENST00000640870.1"	"chr17"	61773247	61777485	"LIMD2"	"-"	"protein_coding"	"chr17"	61759695	61819205	"STRADA"	"-"	"nonsense_mediated_decay"	5285	"same"	"7525_ID"	"Strada"	"Limd2"
"171"	"ENST00000260843.5"	"ENST00000474524.5"	"chr3"	151011873	151034608	"GPR87"	"-"	"protein_coding"	"chr3"	150804675	151154860	"MED12L"	"+"	"protein_coding"	22735	"opposite"	"7170_ID"	"Med12l"	"Gpr87"
"172"	"ENST00000260950.5"	"ENST00000495546.1"	"chr2"	190920425	190927455	"MSTN"	"-"	"protein_coding"	"chr2"	190744352	191028777	"C2orf88"	"+"	"processed_transcript"	7030	"opposite"	"9179_ID"	"1700019D03Rik"	"Mstn"
"180"	"ENST00000262942.10"	"ENST00000638617.1"	"chr7"	98923520	98963885	"ARPC1A"	"+"	"protein_coding"	"chr7"	98923501	98992276	"AC004922.1"	"+"	"protein_coding"	40365	"same"	"6345_ID"	"Arpc1a"	"Arpc1a"
"181"	"ENST00000263080.3"	"ENST00000541913.5"	"chr17"	3379290	3406699	"ASPA"	"+"	"protein_coding"	"chr17"	3343315	3417146	"SPATA22"	"-"	"protein_coding"	31032	"opposite"	"6357_ID"	"Spata22"	"Aspa"
"182"	"ENST00000263080.3"	"ENST00000541913.5"	"chr17"	3379290	3406699	"ASPA"	"+"	"protein_coding"	"chr17"	3343315	3417146	"SPATA22"	"-"	"protein_coding"	31032	"opposite"	"6357_ID"	"Gm49340"	"Aspa"
"183"	"ENST00000263657.7"	"ENST00000406334.3"	"chr2"	68385019	68403370	"PNO1"	"+"	"protein_coding"	"chr2"	68358369	68488362	"AC017083.3"	"-"	"nonsense_mediated_decay"	18351	"opposite"	"9592_ID"	"Ppp3r1"	"Pno1"
"187"	"ENST00000264669.10"	"ENST00000502509.5"	"chr5"	7859271	7869144	"FASTKD3"	"-"	"protein_coding"	"chr5"	7851307	7878151	"MTRR"	"+"	"processed_transcript"	9879	"opposite"	"7004_ID"	"Mtrr"	"Fastkd3"
"188"	"ENST00000264991.8"	"ENST00000471702.2"	"chr3"	132373289	132396941	"UBA5"	"+"	"protein_coding"	"chr3"	132276985	132441303	"NPHP3-ACAD11"	"-"	"nonsense_mediated_decay"	25349	"opposite"	"12839_ID"	"Nphp3"	"Uba5"
"189"	"ENST00000265271.7"	"ENST00000506502.2"	"chr5"	145583167	145668786	"RBM27"	"+"	"protein_coding"	"chr5"	145583112	145718814	"AC091959.1"	"+"	"protein_coding"	85619	"same"	"9714_ID"	"Rbm27"	"Rbm27"
"192"	"ENST00000266085.7"	"ENST00000358763.7"	"chr22"	33197690	33259028	"TIMP3"	"+"	"protein_coding"	"chr22"	32903806	33454367	"SYN3"	"-"	"protein_coding"	61338	"opposite"	"12700_ID"	"Syn3"	"Timp3"
"196"	"ENST00000266970.9"	"ENST00000549233.2"	"chr12"	56360613	56366573	"CDK2"	"+"	"protein_coding"	"chr12"	56352330	56367101	"PMEL"	"-"	"protein_coding"	6009	"opposite"	"6602_ID"	"Pmel"	"Cdk2"
"202"	"ENST00000267843.9"	"ENST00000299338.11"	"chr15"	49715438	49780972	"FGF7"	"+"	"protein_coding"	"chr15"	49619166	49913015	"FAM227B"	"-"	"protein_coding"	65539	"opposite"	"7025_ID"	"Fam227b"	"Fgf7"
"203"	"ENST00000268389.6"	"ENST00000567404.5"	"chr16"	21650870	21663929	"IGSF6"	"-"	"protein_coding"	"chr16"	21608542	21666645	"METTL9"	"+"	"protein_coding"	13059	"opposite"	"7344_ID"	"Mettl9"	"Igsf6"
"206"	"ENST00000269394.4"	"ENST00000355528.9"	"chr17"	80787309	80797898	"ZNF750"	"-"	"protein_coding"	"chr17"	80709940	80903790	"TBCD"	"+"	"protein_coding"	10589	"opposite"	"13069_ID"	"Tbcd"	"Zfp750"
"207"	"ENST00000269967.4"	"ENST00000598758.5"	"chr19"	41816076	41830778	"CCDC97"	"+"	"protein_coding"	"chr19"	41807491	41847935	"TGFB1"	"-"	"processed_transcript"	14702	"opposite"	"6580_ID"	"Tgfb1"	"Ccdc97"
"208"	"ENST00000270824.1"	"ENST00000505871.7"	"chr1"	36787631	36789755	"EVA1B"	"-"	"protein_coding"	"chr1"	36772710	36790578	"SH3D21"	"+"	"protein_coding"	2124	"opposite"	"6941_ID"	"Sh3d21"	"Eva1b"
"216"	"ENST00000274353.10"	"ENST00000520388.5"	"chr5"	78407631	78428111	"BHMT"	"+"	"protein_coding"	"chr5"	78351676	78531861	"DMGDH"	"-"	"processed_transcript"	20480	"opposite"	"6413_ID"	"Dmgdh"	"Gm5096"
"217"	"ENST00000274353.10"	"ENST00000520388.5"	"chr5"	78407631	78428111	"BHMT"	"+"	"protein_coding"	"chr5"	78351676	78531861	"DMGDH"	"-"	"processed_transcript"	20480	"opposite"	"6413_ID"	"Dmgdh"	"Bhmt"
"220"	"ENST00000274629.9"	"ENST00000377360.8"	"chr5"	169801674	169816371	"KCNMB1"	"-"	"protein_coding"	"chr5"	169780490	170162939	"KCNIP1"	"+"	"protein_coding"	14964	"opposite"	"7425_ID"	"Kcnip1"	"Kcnmb1"
"221"	"ENST00000274711.7"	"ENST00000627109.2"	"chr5"	138204609	138211024	"LRRTM2"	"-"	"protein_coding"	"chr5"	138089106	138270722	"CTNNA1"	"+"	"protein_coding"	6448	"opposite"	"7873_ID"	"Ctnna1"	"Lrrtm2"
"222"	"ENST00000274787.3"	"ENST00000514533.1"	"chr5"	175815751	175816762	"HIGD2A"	"+"	"protein_coding"	"chr5"	175795852	175828866	"ARL10"	"+"	"protein_coding"	1011	"same"	"7237_ID"	"Arl10"	"Higd2a"
"224"	"ENST00000275767.3"	"ENST00000459937.5"	"chr7"	134832823	134850967	"TMEM140"	"+"	"protein_coding"	"chr7"	134777114	134855447	"CYREN"	"-"	"processed_transcript"	18144	"opposite"	"12717_ID"	"Cyren"	"Tmem140"
"225"	"ENST00000276173.5"	"ENST00000604604.1"	"chrX"	106143292	106146571	"RIPPLY1"	"-"	"protein_coding"	"chrX"	106057100	106236570	"MORC4"	"-"	"protein_coding"	3279	"same"	"9754_ID"	"Morc4"	"Ripply1"
"228"	"ENST00000276925.7"	"ENST00000404796.3"	"chr9"	22002901	22009304	"CDKN2B"	"-"	"protein_coding"	"chr9"	21802634	22029593	"AL359922.1"	"+"	"nonsense_mediated_decay"	6403	"opposite"	"6605_ID"	"Mtap"	"Cdkn2b"
"233"	"ENST00000278302.9"	"ENST00000380259.7"	"chr11"	5617338	5634182	"TRIM6"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	16850	"opposite"	"12784_ID"	"Trim30a"	"Trim6"
"234"	"ENST00000278302.9"	"ENST00000380259.7"	"chr11"	5617338	5634182	"TRIM6"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	16850	"opposite"	"12784_ID"	"Trim30c"	"Trim6"
"235"	"ENST00000278302.9"	"ENST00000380259.7"	"chr11"	5617338	5634182	"TRIM6"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	16850	"opposite"	"12784_ID"	"Trim12c"	"Trim6"
"236"	"ENST00000278302.9"	"ENST00000380259.7"	"chr11"	5617338	5634182	"TRIM6"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	16850	"opposite"	"12784_ID"	"Trim12a"	"Trim6"
"237"	"ENST00000278302.9"	"ENST00000380259.7"	"chr11"	5617338	5634182	"TRIM6"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	16850	"opposite"	"12784_ID"	"Trim30b"	"Trim6"
"238"	"ENST00000278302.9"	"ENST00000380259.7"	"chr11"	5617338	5634182	"TRIM6"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	16850	"opposite"	"12784_ID"	"Trim5"	"Trim6"
"239"	"ENST00000278302.9"	"ENST00000380259.7"	"chr11"	5617338	5634182	"TRIM6"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	16850	"opposite"	"12784_ID"	"Trim30d"	"Trim6"
"240"	"ENST00000278422.9"	"ENST00000673810.1"	"chr11"	57480064	57508445	"TMX2"	"+"	"protein_coding"	"chr11"	57480055	57585903	"AP001931.2"	"+"	"nonsense_mediated_decay"	28381	"same"	"12748_ID"	"Tmx2"	"Tmx2"
"241"	"ENST00000278590.8"	"ENST00000645527.1"	"chr11"	109964117	110042566	"ZC3H12C"	"+"	"protein_coding"	"chr11"	109735020	110167337	"RDX"	"-"	"nonsense_mediated_decay"	78449	"opposite"	"13006_ID"	"Rdx"	"Zc3h12c"
"242"	"ENST00000278903.11"	"ENST00000648911.1"	"chr11"	125439372	125454579	"EI24"	"+"	"protein_coding"	"chr11"	125312776	125462405	"FEZ1"	"-"	"protein_coding"	15404	"opposite"	"6882_ID"	"Fez1"	"Ei24"
