"pairid_mouse"	"pairid_human"	"SYMBOL_Host_mouse"	"SYMBOL_Nested_mouse"	"geneChr_Nested_mouse"	"geneStart_Nested_mouse"	"geneEnd_Nested_mouse"	"ENST_Nested_mouse"	"Strand_nested_mouse"	"biotype_nested_mouse"	"geneChr_Host_mouse"	"geneStart_Host_mouse"	"geneEnd_Host_mouse"	"ENST_Host_mouse"	"Strand_host_mouse"	"biotype_host_mouse"	"Overlap_size_mouse"	"Strandness_mouse"	"ENST_Host_Human"	"ENST_Nested_Human"	"geneChr_Nested_Human"	"geneStart_Nested_Human"	"geneEnd_Nested_Human"	"SYMBOL_Nested_Human"	"Strand_nested_Human"	"biotype_nested_Human"	"geneChr_Host_Human"	"geneStart_Host_Human"	"geneEnd_Host_Human"	"SYMBOL_Host_Human"	"Strand_host_Human"	"biotype_host_Human"	"Overlap_size_Human"	"Strandness_human"
"11"	"1714_ID"	"7484_ID"	"Tspear"	"Gm19668"	"chr10"	77798386	77799133	"ENSMUST00000178581.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	747	"opposite"	"ENST00000323084.9"	"ENST00000400368.1"	"chr21"	46011148	46012386	"KRTAP10-6"	"-"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1238	"same"
"12"	"1714_ID"	"7490_ID"	"Tspear"	"Gm19668"	"chr10"	77798386	77799133	"ENSMUST00000178581.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	747	"opposite"	"ENST00000323084.9"	"ENST00000397911.5"	"chr21"	46047009	46048295	"KRTAP10-9"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1286	"opposite"
"13"	"1834_ID"	"12365_ID"	"Med24"	"Gm22059"	"chr11"	98710985	98711089	"ENSMUST00000157544.1"	"-"	"snoRNA"	"chr11"	98704590	98729435	"ENSMUST00000017354.12"	"-"	"protein_coding"	104	"same"	"ENST00000356271.7"	"ENST00000459577.1"	"chr17"	38183794	38183898	"SNORD124"	"-"	"snoRNA"	"chr17"	38175350	38210660	"MED24"	"-"	"protein_coding"	104	"same"
"14"	"1876_ID"	"8647_ID"	"Purb"	"Gm22123"	"chr11"	6472224	6472277	"ENSMUST00000175144.1"	"-"	"miRNA"	"chr11"	6467598	6475917	"ENSMUST00000179343.2"	"-"	"protein_coding"	53	"same"	"ENST00000395699.5"	"ENST00000578157.1"	"chr7"	44921346	44921399	"MIR4657"	"-"	"miRNA"	"chr7"	44915897	44925129	"PURB"	"-"	"protein_coding"	53	"same"
"15"	"1905_ID"	"12233_ID"	"Sf3b3"	"Gm22193"	"chr8"	110842382	110842458	"ENSMUST00000116868.1"	"-"	"snoRNA"	"chr8"	110810238	110846776	"ENSMUST00000042012.6"	"-"	"protein_coding"	76	"same"	"ENST00000302516.10"	"ENST00000408587.1"	"chr16"	70563411	70563491	"SNORD111B"	"+"	"snoRNA"	"chr16"	70557718	70611571	"SF3B3"	"+"	"protein_coding"	80	"same"
"16"	"2011_ID"	"12384_ID"	"Rpl4"	"Gm22455"	"chr9"	64177122	64177193	"ENSMUST00000082580.1"	"+"	"snoRNA"	"chr9"	64173374	64178666	"ENSMUST00000034966.8"	"+"	"protein_coding"	71	"same"	"ENST00000568588.5"	"ENST00000362704.1"	"chr15"	66793587	66793656	"SNORD18C"	"-"	"snoRNA"	"chr15"	66791660	66816870	"RPL4"	"-"	"protein_coding"	69	"same"
"17"	"2069_ID"	"12453_ID"	"Ddx39b"	"Gm22589"	"chr17"	35242677	35242754	"ENSMUST00000101824.1"	"+"	"snoRNA"	"chr17"	35241745	35253707	"ENSMUST00000068056.11"	"+"	"protein_coding"	77	"same"	"ENST00000458640.5"	"ENST00000584275.1"	"chr6"	31508877	31508955	"SNORD84"	"-"	"snoRNA"	"chr6"	31497995	31510225	"DDX39B"	"-"	"protein_coding"	78	"same"
"18"	"2145_ID"	"12214_ID"	"Odc1"	"Gm22748"	"chr12"	17546145	17546281	"ENSMUST00000082493.1"	"+"	"snoRNA"	"chr12"	17544793	17551084	"ENSMUST00000171737.2"	"+"	"protein_coding"	136	"same"	"ENST00000234111.9"	"ENST00000383906.1"	"chr2"	10586839	10586975	"SNORA80B"	"-"	"snoRNA"	"chr2"	10580093	10588453	"ODC1"	"-"	"protein_coding"	136	"same"
"19"	"2194_ID"	"12420_ID"	"Wdr43"	"Gm22858"	"chr17"	71641583	71641659	"ENSMUST00000174972.1"	"+"	"snoRNA"	"chr17"	71616214	71659031	"ENSMUST00000047086.9"	"+"	"protein_coding"	76	"same"	"ENST00000407426.8"	"ENST00000577887.1"	"chr2"	29150848	29150926	"SNORD53_SNORD92"	"+"	"snoRNA"	"chr2"	29117532	29171085	"WDR43"	"+"	"protein_coding"	78	"same"
"20"	"2245_ID"	"12227_ID"	"Ppan"	"Gm23008"	"chr9"	20890756	20890836	"ENSMUST00000158946.1"	"+"	"snoRNA"	"chr9"	20888174	20892178	"ENSMUST00000004203.5"	"+"	"protein_coding"	80	"same"	"ENST00000253107.12"	"ENST00000458770.1"	"chr19"	10220432	10220511	"SNORD105B"	"+"	"snoRNA"	"chr19"	10217037	10222688	"PPAN"	"+"	"protein_coding"	79	"same"
"21"	"2245_ID"	"12228_ID"	"Ppan"	"Gm23008"	"chr9"	20890756	20890836	"ENSMUST00000158946.1"	"+"	"snoRNA"	"chr9"	20888174	20892178	"ENSMUST00000004203.5"	"+"	"protein_coding"	80	"same"	"ENST00000428358.5"	"ENST00000458770.1"	"chr19"	10220432	10220511	"SNORD105B"	"+"	"snoRNA"	"chr19"	10216898	10225456	"PPAN-P2RY11"	"+"	"protein_coding"	79	"same"
"22"	"2322_ID"	"12456_ID"	"Nop56"	"Gm23187"	"chr2"	130277194	130277280	"ENSMUST00000175746.1"	"+"	"snoRNA"	"chr2"	130274429	130279313	"ENSMUST00000103198.10"	"+"	"protein_coding"	86	"same"	"ENST00000329276.10"	"ENST00000391196.1"	"chr20"	2636742	2636828	"SNORD86"	"+"	"snoRNA"	"chr20"	2633277	2639039	"NOP56"	"+"	"protein_coding"	86	"same"
"23"	"2362_ID"	"12468_ID"	"Eif4g2"	"Gm23262"	"chr7"	111076059	111076227	"ENSMUST00000158323.1"	"-"	"snoRNA"	"chr7"	111067749	111083030	"ENSMUST00000162415.8"	"-"	"protein_coding"	168	"same"	"ENST00000339995.11"	"ENST00000459187.1"	"chr11"	10823013	10823155	"SNORD97"	"-"	"snoRNA"	"chr11"	10818600	10830473	"EIF4G2"	"-"	"protein_coding"	142	"same"
"24"	"2372_ID"	"12182_ID"	"Nap1l4"	"Gm23297"	"chr7"	143531393	143531520	"ENSMUST00000083184.1"	"-"	"snoRNA"	"chr7"	143513582	143549106	"ENSMUST00000208190.1"	"-"	"protein_coding"	127	"same"	"ENST00000620138.4"	"ENST00000384281.1"	"chr11"	2985000	2985123	"SNORA54"	"-"	"snoRNA"	"chr11"	2965660	3013607	"NAP1L4"	"-"	"protein_coding"	123	"same"
"25"	"2390_ID"	"12382_ID"	"Rpl4"	"Gm23344"	"chr9"	64175047	64175115	"ENSMUST00000083818.1"	"+"	"snoRNA"	"chr9"	64173374	64178666	"ENSMUST00000034966.8"	"+"	"protein_coding"	68	"same"	"ENST00000568588.5"	"ENST00000363753.1"	"chr15"	66795580	66795652	"SNORD18A"	"-"	"snoRNA"	"chr15"	66791660	66816870	"RPL4"	"-"	"protein_coding"	72	"same"
"26"	"2472_ID"	"11991_ID"	"Phb2"	"Gm23547"	"chr6"	124715231	124715502	"ENSMUST00000158210.1"	"+"	"snoRNA"	"chr6"	124712335	124716950	"ENSMUST00000004375.15"	"+"	"protein_coding"	271	"same"	"ENST00000440277.6"	"ENST00000459155.1"	"chr12"	7076499	7076769	"SCARNA12"	"-"	"snoRNA"	"chr12"	7074489	7079916	"PHB2"	"-"	"protein_coding"	270	"same"
"27"	"259_ID"	"6483_ID"	"Chrne"	"4930544D05Rik"	"chr11"	70615847	70616875	"ENSMUST00000180052.7"	"+"	"protein_coding"	"chr11"	70614882	70619216	"ENSMUST00000014753.8"	"-"	"protein_coding"	1043	"opposite"	"ENST00000649830.1"	"ENST00000381365.4"	"chr17"	4802830	4806229	"C17orf107"	"+"	"protein_coding"	"chr17"	4801379	4837733	"CHRNE"	"-"	"protein_coding"	3517	"opposite"
"28"	"2674_ID"	"12421_ID"	"Rps20"	"Gm24016"	"chr4"	3835078	3835146	"ENSMUST00000157726.1"	"-"	"snoRNA"	"chr4"	3831333	3835665	"ENSMUST00000138502.1"	"-"	"protein_coding"	68	"same"	"ENST00000676461.1"	"ENST00000459159.1"	"chr8"	56986393	56986460	"SNORD54"	"-"	"snoRNA"	"chr8"	56979827	56987067	"RPS20"	"-"	"nonsense_mediated_decay"	67	"same"
"29"	"2683_ID"	"12191_ID"	"Rpsa"	"Gm24044"	"chr9"	120128779	120128935	"ENSMUST00000083107.1"	"+"	"snoRNA"	"chr9"	120127688	120132369	"ENSMUST00000035105.6"	"+"	"protein_coding"	156	"same"	"ENST00000301821.11"	"ENST00000384033.1"	"chr3"	39449879	39450030	"SNORA6"	"+"	"snoRNA"	"chr3"	39448210	39454033	"RPSA"	"+"	"protein_coding"	151	"same"
"30"	"2696_ID"	"12225_ID"	"Ppan"	"Gm24067"	"chr9"	20889483	20889568	"ENSMUST00000104514.1"	"+"	"snoRNA"	"chr9"	20888174	20892178	"ENSMUST00000004203.5"	"+"	"protein_coding"	85	"same"	"ENST00000253107.12"	"ENST00000386910.1"	"chr19"	10218326	10218411	"SNORD105"	"+"	"snoRNA"	"chr19"	10217037	10222688	"PPAN"	"+"	"protein_coding"	85	"same"
"31"	"2696_ID"	"12226_ID"	"Ppan"	"Gm24067"	"chr9"	20889483	20889568	"ENSMUST00000104514.1"	"+"	"snoRNA"	"chr9"	20888174	20892178	"ENSMUST00000004203.5"	"+"	"protein_coding"	85	"same"	"ENST00000428358.5"	"ENST00000386910.1"	"chr19"	10218326	10218411	"SNORD105"	"+"	"snoRNA"	"chr19"	10216898	10225456	"PPAN-P2RY11"	"+"	"protein_coding"	85	"same"
"32"	"2717_ID"	"12181_ID"	"Slc25a3"	"Gm24119"	"chr10"	91118290	91118536	"ENSMUST00000103979.1"	"-"	"snoRNA"	"chr10"	91116573	91124059	"ENSMUST00000076694.12"	"-"	"protein_coding"	246	"same"	"ENST00000401722.7"	"ENST00000391141.1"	"chr12"	98993412	98993661	"SNORA53"	"+"	"snoRNA"	"chr12"	98987368	99000157	"SLC25A3"	"+"	"protein_coding"	249	"same"
"33"	"2798_ID"	"11993_ID"	"Tipin"	"Gm24289"	"chr9"	64295930	64296065	"ENSMUST00000157629.1"	"+"	"scaRNA"	"chr9"	64281602	64305424	"ENSMUST00000216594.1"	"+"	"protein_coding"	135	"same"	"ENST00000562124.5"	"ENST00000516903.1"	"chr15"	66639544	66639680	"SCARNA14"	"-"	"snoRNA"	"chr15"	66629318	66679062	"TIPIN"	"-"	"protein_coding"	136	"same"
"34"	"2807_ID"	"12188_ID"	"Tbrg4"	"Gm24313"	"chr11"	6619807	6619940	"ENSMUST00000082561.1"	"-"	"snoRNA"	"chr11"	6615598	6626067	"ENSMUST00000189268.6"	"-"	"protein_coding"	133	"same"	"ENST00000395655.8"	"ENST00000384111.1"	"chr7"	45143947	45144081	"SNORA5A"	"-"	"snoRNA"	"chr7"	45139698	45151646	"TBRG4"	"-"	"protein_coding"	134	"same"
"35"	"2826_ID"	"12435_ID"	"Taf1d"	"Gm24357"	"chr9"	15315521	15315595	"ENSMUST00000082863.1"	"+"	"snoRNA"	"chr9"	15306247	15316978	"ENSMUST00000214054.1"	"+"	"protein_coding"	74	"same"	"ENST00000323981.6"	"ENST00000365444.1"	"chr11"	93464667	93464740	"SNORD6"	"-"	"snoRNA"	"chr11"	93463113	93474660	"TAF1D"	"-"	"nonsense_mediated_decay"	73	"same"
"36"	"2885_ID"	"12408_ID"	"Rabggtb"	"Gm24494"	"chr3"	153911609	153911690	"ENSMUST00000083804.1"	"-"	"snoRNA"	"chr3"	153907288	153913009	"ENSMUST00000089950.10"	"-"	"protein_coding"	81	"same"	"ENST00000319942.8"	"ENST00000384512.1"	"chr1"	76253573	76253657	"SNORD45A"	"+"	"snoRNA"	"chr1"	76251940	76260771	"RABGGTB"	"+"	"protein_coding"	84	"same"
"37"	"3065_ID"	"12386_ID"	"Gnl3"	"Gm24916"	"chr14"	31015147	31015226	"ENSMUST00000157287.1"	"-"	"snoRNA"	"chr14"	31012432	31019152	"ENSMUST00000037739.7"	"-"	"protein_coding"	79	"same"	"ENST00000394799.6"	"ENST00000459623.1"	"chr3"	52724759	52724843	"SNORD19B"	"+"	"snoRNA"	"chr3"	52720031	52728508	"GNL3"	"+"	"protein_coding"	1946	"same"
"38"	"310_ID"	"6466_ID"	"Hoga1"	"4933411K16Rik"	"chr19"	42052247	42053627	"ENSMUST00000164518.3"	"+"	"protein_coding"	"chr19"	42045831	42070953	"ENSMUST00000081714.4"	"+"	"protein_coding"	1380	"same"	"ENST00000370647.8"	"ENST00000370640.5"	"chr10"	99349477	99350691	"C10orf62"	"+"	"protein_coding"	"chr10"	99344099	99372559	"HOGA1"	"+"	"protein_coding"	1214	"same"
"39"	"3141_ID"	"12357_ID"	"Ddx39b"	"Gm25128"	"chr17"	35247174	35247250	"ENSMUST00000083339.1"	"+"	"snoRNA"	"chr17"	35241745	35253707	"ENSMUST00000068056.11"	"+"	"protein_coding"	76	"same"	"ENST00000458640.5"	"ENST00000364915.1"	"chr6"	31504150	31504226	"SNORD117"	"-"	"snoRNA"	"chr6"	31497995	31510225	"DDX39B"	"-"	"protein_coding"	76	"same"
"40"	"3266_ID"	"12215_ID"	"Iars"	"Gm25394"	"chr13"	49684300	49684433	"ENSMUST00000157338.1"	"+"	"snoRNA"	"chr13"	49682099	49734267	"ENSMUST00000165316.7"	"+"	"protein_coding"	133	"same"	"ENST00000447699.7"	"ENST00000459229.1"	"chr9"	95054742	95054875	"SNORA84"	"-"	"snoRNA"	"chr9"	94972492	95056038	"IARS1"	"-"	"nonsense_mediated_decay"	133	"same"
"41"	"3449_ID"	"12218_ID"	"Eif4a1"	"Gm25835"	"chr11"	69668851	69668995	"ENSMUST00000158917.1"	"-"	"snoRNA"	"chr11"	69666935	69672317	"ENSMUST00000128519.7"	"-"	"protein_coding"	144	"same"	"ENST00000293831.13"	"ENST00000459579.1"	"chr17"	7480128	7480270	"SNORD10"	"+"	"snoRNA"	"chr17"	7476142	7482324	"EIF4A1"	"+"	"protein_coding"	142	"same"
"42"	"3511_ID"	"12368_ID"	"Prpf39"	"Gm25970"	"chr12"	65056572	65056658	"ENSMUST00000157165.1"	"+"	"snoRNA"	"chr12"	65036332	65063386	"ENSMUST00000120580.7"	"+"	"protein_coding"	86	"same"	"ENST00000355765.11"	"ENST00000458892.1"	"chr14"	45580085	45580171	"SNORD127"	"+"	"snoRNA"	"chr14"	45553318	45585485	"PRPF39"	"+"	"protein_coding"	86	"same"
"43"	"3559_ID"	"12178_ID"	"Ep400"	"Gm26079"	"chr5"	110692048	110692181	"ENSMUST00000104066.1"	"-"	"snoRNA"	"chr5"	110664372	110770717	"ENSMUST00000112435.8"	"-"	"protein_coding"	133	"same"	"ENST00000389561.7"	"ENST00000386157.1"	"chr12"	132515768	132515904	"SNORA49"	"+"	"snoRNA"	"chr12"	132434486	132565005	"EP400"	"+"	"protein_coding"	136	"same"
"44"	"3583_ID"	"12165_ID"	"Tcp1"	"Gm26130"	"chr17"	12919584	12919722	"ENSMUST00000083171.1"	"+"	"snoRNA"	"chr17"	12916381	12925067	"ENSMUST00000151287.7"	"+"	"protein_coding"	138	"same"	"ENST00000321394.12"	"ENST00000384183.1"	"chr6"	160206625	160206765	"SNORA29"	"-"	"snoRNA"	"chr6"	160199529	160210634	"TCP1"	"-"	"protein_coding"	140	"same"
"45"	"3641_ID"	"12360_ID"	"Nop58"	"Gm26287"	"chr1"	59704257	59704338	"ENSMUST00000158887.3"	"+"	"snoRNA"	"chr1"	59685008	59719044	"ENSMUST00000191142.6"	"+"	"protein_coding"	81	"same"	"ENST00000264279.10"	"ENST00000607707.1"	"chr2"	203156054	203156144	"SNORD11B"	"+"	"snoRNA"	"chr2"	203130485	203168384	"NOP58"	"+"	"protein_coding"	90	"same"
"46"	"3685_ID"	"12160_ID"	"Tomm20"	"Gm26397"	"chr8"	126944846	126944980	"ENSMUST00000083703.1"	"-"	"snoRNA"	"chr8"	126930666	126945840	"ENSMUST00000179857.2"	"-"	"protein_coding"	134	"same"	"ENST00000366607.5"	"ENST00000384452.1"	"chr1"	235291117	235291252	"SNORA14B"	"-"	"snoRNA"	"chr1"	235272655	235292152	"TOMM20"	"-"	"protein_coding"	135	"same"
"47"	"4148_ID"	"7282_ID"	"Hoxd3"	"Gm28230"	"chr2"	74726727	74747918	"ENSMUST00000053932.6"	"+"	"protein_coding"	"chr2"	74711926	74748271	"ENSMUST00000111983.8"	"+"	"protein_coding"	21191	"same"	"ENST00000432796.2"	"ENST00000306324.4"	"chr2"	177016277	177017954	"HOXD4"	"+"	"protein_coding"	"chr2"	177001684	177034143	"HOXD3"	"+"	"protein_coding"	1677	"same"
"48"	"4346_ID"	"7476_ID"	"Tspear"	"Gm3233"	"chr10"	77758989	77759682	"ENSMUST00000168997.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	693	"opposite"	"ENST00000323084.9"	"ENST00000334670.9"	"chr21"	46066330	46067567	"KRTAP10-11"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1237	"opposite"
"49"	"4346_ID"	"7484_ID"	"Tspear"	"Gm3233"	"chr10"	77758989	77759682	"ENSMUST00000168997.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	693	"opposite"	"ENST00000323084.9"	"ENST00000400368.1"	"chr21"	46011148	46012386	"KRTAP10-6"	"-"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1238	"same"
"50"	"4346_ID"	"7490_ID"	"Tspear"	"Gm3233"	"chr10"	77758989	77759682	"ENSMUST00000168997.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	693	"opposite"	"ENST00000323084.9"	"ENST00000397911.5"	"chr21"	46047009	46048295	"KRTAP10-9"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1286	"opposite"
"51"	"4349_ID"	"7476_ID"	"Tspear"	"Gm3238"	"chr10"	77770632	77771325	"ENSMUST00000168298.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	693	"opposite"	"ENST00000323084.9"	"ENST00000334670.9"	"chr21"	46066330	46067567	"KRTAP10-11"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1237	"opposite"
"52"	"4349_ID"	"7484_ID"	"Tspear"	"Gm3238"	"chr10"	77770632	77771325	"ENSMUST00000168298.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	693	"opposite"	"ENST00000323084.9"	"ENST00000400368.1"	"chr21"	46011148	46012386	"KRTAP10-6"	"-"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1238	"same"
"53"	"4349_ID"	"7490_ID"	"Tspear"	"Gm3238"	"chr10"	77770632	77771325	"ENSMUST00000168298.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	693	"opposite"	"ENST00000323084.9"	"ENST00000397911.5"	"chr21"	46047009	46048295	"KRTAP10-9"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1286	"opposite"
"54"	"4351_ID"	"7476_ID"	"Tspear"	"Gm3250"	"chr10"	77781849	77782542	"ENSMUST00000167358.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	693	"opposite"	"ENST00000323084.9"	"ENST00000334670.9"	"chr21"	46066330	46067567	"KRTAP10-11"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1237	"opposite"
"55"	"4351_ID"	"7484_ID"	"Tspear"	"Gm3250"	"chr10"	77781849	77782542	"ENSMUST00000167358.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	693	"opposite"	"ENST00000323084.9"	"ENST00000400368.1"	"chr21"	46011148	46012386	"KRTAP10-6"	"-"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1238	"same"
"56"	"4351_ID"	"7490_ID"	"Tspear"	"Gm3250"	"chr10"	77781849	77782542	"ENSMUST00000167358.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	693	"opposite"	"ENST00000323084.9"	"ENST00000397911.5"	"chr21"	46047009	46048295	"KRTAP10-9"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1286	"opposite"
"57"	"4359_ID"	"7476_ID"	"Tspear"	"Gm3285"	"chr10"	77861974	77862882	"ENSMUST00000218443.1"	"+"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	908	"same"	"ENST00000323084.9"	"ENST00000334670.9"	"chr21"	46066330	46067567	"KRTAP10-11"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1237	"opposite"
"58"	"4359_ID"	"7484_ID"	"Tspear"	"Gm3285"	"chr10"	77861974	77862882	"ENSMUST00000218443.1"	"+"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	908	"same"	"ENST00000323084.9"	"ENST00000400368.1"	"chr21"	46011148	46012386	"KRTAP10-6"	"-"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1238	"same"
